Time	Shiplaw_Burn	Middle_Burn	Middle_Longcote	Kidston_Mill
2011-03-22 00:00:50	0	0	0	0
2011-03-23 00:00:50	0.0171719	0.00967929	0.064297	0.231011
2011-03-24 00:00:50	0.0149757	0.0112971	0.0671263	0.277643
2011-03-25 00:00:50	0.0142329	0.00919714	0.0601067	0.224801
2011-03-26 00:00:50	0.0137053	0.00941077	0.0532029	0.219969
2011-03-27 00:00:50	0.0129359	0.00797	0.0483937	0.184018
2011-03-28 00:00:50	0.0125094	0.00664543	0.0441592	0.169113
2011-03-29 00:00:50	0.0122899	0.00559706	0.0402638	0.166914
2011-03-30 00:00:50	0.0126873	0.00596979	0.03878	0.213463
2011-03-31 00:00:50	0.0199731	0.0131498	0.0423747	0.377034
2011-04-01 00:00:50	0.0220776	0.0163001	0.0454747	0.385319
2011-04-02 00:00:50	0.0152346	0.00964621	0.0430388	0.239441
2011-04-03 00:00:50	0.0143563	0.00861641	0.0412329	0.214951
2011-04-04 00:00:50	0.0141892	0.00884326	0.0381366	0.198503
2011-04-05 00:00:50	0.0428294	0.0133167	0.0423718	0.779366
2011-04-06 00:00:50	0.134502	0.0566223	0.0567433	1.91323
2011-04-07 00:00:50	0.0517694	0.0356427	0.0641248	1.02509
2011-04-08 00:00:50	0.0156407	0.0163351	0.0576524	0.291876
2011-04-09 00:00:50	0.0138889	0.0121839	0.0501063	0.222147
2011-04-10 00:00:50	0.012162	0.00555138	0.044119	0.175281
2011-04-11 00:00:50	0.0116853	0.00513702	0.0395107	0.159317
2011-04-12 00:00:50	0.0114615	0.00510806	0.0358364	0.15162
2011-04-13 00:00:50	0.011264	0.0050804	0.0325334	0.147983
2011-04-14 00:00:50	0.0111327	0.00505504	0.0302623	0.138829
2011-04-15 00:00:50	0.0109288	0.00502498	0.0281252	0.133458
2011-04-16 00:00:50	0.0107453	0.00499693	0.0264618	0.129374
2011-04-17 00:00:50	0.0105094	0.00496626	0.024834	0.125453
2011-04-18 00:00:50	0.0100925	0.0049332	0.0231362	0.121354
2011-04-19 00:00:50	0.00960796	0.0048989	0.0214444	0.116878
2011-04-20 00:00:50	0.00928355	0.00486464	0.0199038	0.113046
2011-04-21 00:00:50	0.00902127	0.00483058	0.0185192	0.109631
2011-04-22 00:00:50	0.00874871	0.00479873	0.0174396	0.106524
2011-04-23 00:00:50	0.00851657	0.00477146	0.017565	0.104838
2011-04-24 00:00:50	0.00820478	0.00474908	0.0206819	0.108728
2011-04-25 00:00:50	0.00809752	0.00473979	0.0212077	0.10927
