Time	Shiplaw_Burn	Middle_Burn	Middle_Longcote	Kidston_Mill
2011-03-22 00:00:50	0	0	0	0
2011-03-23 00:00:50	0.0174811	0.00967927	0.0642996	0.23465
2011-03-24 00:00:50	0.0146057	0.0112904	0.0671382	0.27805
2011-03-25 00:00:50	0.0136523	0.00951826	0.059804	0.2269
2011-03-26 00:00:50	0.0132997	0.00865775	0.0542576	0.20829
2011-03-27 00:00:50	0.01275	0.00839031	0.0478047	0.188822
2011-03-28 00:00:50	0.0124831	0.00756251	0.0431217	0.173752
2011-03-29 00:00:50	0.0123146	0.00542659	0.0400133	0.159821
2011-03-30 00:00:50	0.0125387	0.00573252	0.0387691	0.21706
2011-03-31 00:00:50	0.0242298	0.0128527	0.0425307	0.408069
2011-04-01 00:00:50	0.0242625	0.0167261	0.0458214	0.428963
2011-04-02 00:00:50	0.0160944	0.0100057	0.0432512	0.251997
2011-04-03 00:00:50	0.0149348	0.00881047	0.0414511	0.232745
2011-04-04 00:00:50	0.0132576	0.00836641	0.0383303	0.18569
2011-04-05 00:00:50	0.0512989	0.0139956	0.0425996	0.851773
2011-04-06 00:00:50	0.148518	0.0583496	0.0569045	2.05989
2011-04-07 00:00:50	0.0524731	0.0363452	0.0643129	1.04381
2011-04-08 00:00:50	0.0138231	0.0150197	0.0589955	0.259067
2011-04-09 00:00:50	0.0127873	0.0124287	0.0501407	0.222475
2011-04-10 00:00:50	0.012129	0.00578808	0.043766	0.176269
2011-04-11 00:00:50	0.011904	0.00514279	0.0395074	0.159754
2011-04-12 00:00:50	0.0116656	0.00511125	0.0358152	0.152263
2011-04-13 00:00:50	0.0113968	0.0050815	0.0325482	0.148927
2011-04-14 00:00:50	0.0112378	0.0050583	0.0303346	0.138933
2011-04-15 00:00:50	0.0110713	0.00502946	0.0281608	0.133901
2011-04-16 00:00:50	0.0108053	0.00500023	0.0265127	0.129665
2011-04-17 00:00:50	0.0105444	0.00496823	0.024819	0.125532
2011-04-18 00:00:50	0.0101882	0.00493545	0.0231628	0.121544
2011-04-19 00:00:50	0.00986929	0.00490094	0.0214004	0.117219
2011-04-20 00:00:50	0.0095588	0.00486625	0.01994	0.113578
2011-04-21 00:00:50	0.00918006	0.00483217	0.0184501	0.110114
2011-04-22 00:00:50	0.00890703	0.00480046	0.0173984	0.107018
2011-04-23 00:00:50	0.00870323	0.00477125	0.0172533	0.105001
2011-04-24 00:00:50	0.00851683	0.0047504	0.0207767	0.109367
2011-04-25 00:00:50	0.00842928	0.00474169	0.0212868	0.110048
2011-04-26 00:00:50	0.00829179	0.00472799	0.0204856	0.108097
2011-04-27 00:00:50	0.00807657	0.00470094	0.0192667	0.10539
2011-04-28 00:00:50	0.00789843	0.00466946	0.0177594	0.102255
2011-04-29 00:00:50	0.00768165	0.00463912	0.0164186	0.0991416
2011-04-30 00:00:50	0.00758512	0.00460966	0.0153941	0.0966469
2011-05-01 00:00:50	0.0074665	0.00457824	0.0147358	0.0947459
2011-05-02 00:00:50	0.00725028	0.004547	0.0137043	0.0923715
2011-05-03 00:00:50	0.00716389	0.0045164	0.01305	0.0905266
2011-05-04 00:00:50	0.00707855	0.00448544	0.0124962	0.0889142
2011-05-05 00:00:50	0.0069714	0.00444971	0.0117723	0.0870308
2011-05-06 00:00:50	0.00686264	0.00442381	0.0135698	0.0877025
2011-05-07 00:00:50	0.00692394	0.00441454	0.0218431	0.0992652
2011-05-08 00:00:50	0.00701221	0.0044166	0.0326346	0.157043
2011-05-09 00:00:50	0.00698485	0.00441115	0.0376819	0.179973
2011-05-10 00:00:50	0.00694886	0.00440318	0.0386982	0.166796
2011-05-11 00:00:50	0.00698009	0.00439311	0.0379755	0.166178
2011-05-12 00:00:50	0.0072736	0.00438832	0.0365377	0.161695
2011-05-13 00:00:50	0.00803211	0.00439114	0.035282	0.156557
2011-05-14 00:00:50	0.00764618	0.0043873	0.0338728	0.13953
2011-05-15 00:00:50	0.00700488	0.00438156	0.0317639	0.119533
2011-05-16 00:00:50	0.00686253	0.00437048	0.0294179	0.113371
2011-05-17 00:00:50	0.00700941	0.00436184	0.0281567	0.12176
2011-05-18 00:00:50	0.00694159	0.00435158	0.0261156	0.109356
2011-05-19 00:00:50	0.00680199	0.00434251	0.0241018	0.109527
2011-05-20 00:00:50	0.00670115	0.00432086	0.0219651	0.102151
2011-05-21 00:00:50	0.00669732	0.00431666	0.0210395	0.100844
2011-05-22 00:00:50	0.0070156	0.00431095	0.0227092	0.126254
2011-05-23 00:00:50	0.0209813	0.00439779	0.0289651	0.226806
2011-05-24 00:00:50	0.0299723	0.00700088	0.0366389	0.310245
2011-05-25 00:00:50	0.0129853	0.00638992	0.0369239	0.235513
2011-05-26 00:00:50	0.0078836	0.00517469	0.0345669	0.139842
2011-05-27 00:00:50	0.00750502	0.00505165	0.031842	0.124818
2011-05-28 00:00:50	0.00764208	0.00543448	0.0296588	0.140911
2011-05-29 00:00:50	0.00815107	0.0054004	0.0294983	0.168435
2011-05-30 00:00:50	0.00775561	0.00505453	0.028674	0.132216
2011-05-31 00:00:50	0.00732682	0.00484666	0.0262076	0.115425
2011-06-01 00:00:50	0.00726681	0.00436359	0.0232481	0.10624
2011-06-02 00:00:50	0.00720394	0.00433657	0.0204483	0.0998345
2011-06-03 00:00:50	0.00713696	0.00431255	0.0180525	0.0950761
2011-06-04 00:00:50	0.00706338	0.00428453	0.016086	0.091149
2011-06-05 00:00:50	0.00699803	0.00425256	0.0147847	0.0883998
2011-06-06 00:00:50	0.00693594	0.00422291	0.0139226	0.0864885
2011-06-07 00:00:50	0.00686491	0.00420787	0.013587	0.0850965
2011-06-08 00:00:50	0.00674637	0.00418928	0.0146073	0.0856112
2011-06-09 00:00:50	0.0066466	0.00418086	0.0160572	0.0873206
2011-06-10 00:00:50	0.00659419	0.00416828	0.0165246	0.0881377
2011-06-11 00:00:50	0.00656902	0.00415477	0.0163698	0.0873964
2011-06-12 00:00:50	0.00653815	0.00414226	0.0203862	0.0960091
2011-06-13 00:00:50	0.00650296	0.00413403	0.0235018	0.109139
2011-06-14 00:00:50	0.00644529	0.00412669	0.0229097	0.0979043
2011-06-15 00:00:50	0.00636893	0.0041096	0.0208039	0.0938667
2011-06-16 00:01:40	0.00631154	0.00408536	0.018981	0.0900375
2011-06-17 00:01:40	0.00626122	0.00406426	0.0181115	0.088016
2011-06-18 00:01:40	0.00620901	0.00404298	0.0176897	0.0867427
2011-06-19 00:01:40	0.00613936	0.00402309	0.0218146	0.0915963
2011-06-20 00:01:40	0.00609044	0.00401415	0.0281276	0.10766
2011-06-21 00:01:40	0.00604898	0.00400108	0.0285016	0.118479
2011-06-22 00:01:40	0.00610582	0.00399075	0.0324761	0.147615
2011-06-23 00:01:40	0.00607915	0.00398679	0.03166	0.132863
2011-06-24 00:01:40	0.00603136	0.00398372	0.0304653	0.115904
2011-06-25 00:01:40	0.00598778	0.00397701	0.0284607	0.105607
2011-06-26 00:01:40	0.00594908	0.00397417	0.0272139	0.10322
2011-06-27 00:01:40	0.00586103	0.00396766	0.0238546	0.0959167
2011-06-28 00:01:40	0.00578758	0.00395873	0.0214639	0.0915864
2011-06-29 00:01:40	0.00571023	0.00392092	0.0187143	0.0867539
2011-06-30 00:01:40	0.00565803	0.00389939	0.0163597	0.0825137
2011-07-01 00:01:40	0.00559133	0.00385856	0.0147714	0.0796953
2011-07-02 00:01:40	0.00555123	0.00384459	0.0134577	0.0773527
2011-07-03 00:01:40	0.00547281	0.00382018	0.0115511	0.0740801
2011-07-04 00:01:40	0.00540194	0.00379365	0.010064	0.0715568
2011-07-05 00:01:40	0.00535185	0.00376442	0.00907841	0.0695135
