Time	Shiplaw_Burn	Middle_Burn	Middle_Longcote	Kidston_Mill
2016-03-23 00:03:20	0.0153256	0.00842541	0.0348334	0.185294
2016-03-24 00:03:20	0.0154889	0.00898753	0.0349979	0.213422
2016-03-25 00:03:20	0.0158039	0.00921959	0.0369752	0.2252
2016-03-26 00:03:20	0.0157334	0.010201	0.038587	0.246294
2016-03-27 00:03:20	0.0733357	0.0165166	0.0484899	0.712107
2016-03-28 00:03:20	0.0622368	0.0335271	0.0586797	0.90822
2016-03-29 00:03:20	0.0243496	0.0165028	0.0579776	0.461764
2016-03-30 00:03:20	0.0194013	0.0138506	0.0590616	0.356747
2016-03-31 00:03:20	0.0179922	0.0139131	0.0567075	0.33697
2016-04-01 00:03:20	0.0202002	0.0134927	0.0546586	0.346698
2016-04-02 00:03:20	0.0185133	0.0124968	0.0525363	0.301171
2016-04-03 00:03:20	0.01854	0.012018	0.0513904	0.291625
2016-04-04 00:03:20	0.040777	0.0180386	0.0539955	0.630713
2016-04-05 00:03:20	0.0807974	0.0408907	0.0646043	1.11062
2016-04-06 00:03:20	0.0970864	0.0485287	0.0698693	1.16124
2016-04-07 00:03:20	0.150149	0.0718331	0.0732552	1.82743
2016-04-08 00:03:20	0.0658855	0.0471058	0.0798718	1.1389
2016-04-09 00:03:20	0.0516873	0.0309371	0.075047	0.689943
2016-04-10 00:03:20	0.0597578	0.0379609	0.0768459	1.04499
2016-04-11 00:03:20	0.0330048	0.0259462	0.0771853	0.670354
2016-04-12 00:03:20	0.0246478	0.0187717	0.0731911	0.488339
2016-04-13 00:03:20	0.0334419	0.0217065	0.0727532	0.829482
2016-04-14 00:03:20	0.0245332	0.0180437	0.0712694	0.595024
2016-04-15 00:03:20	0.0220477	0.0150184	0.0683711	0.473196
2016-04-16 00:03:20	0.0273478	0.0188024	0.0651984	0.581201
2016-04-17 00:03:20	0.0179596	0.0138342	0.061763	0.332977
2016-04-18 00:03:20	0.0158985	0.0121529	0.0573984	0.249421
2016-04-19 00:03:20	0.0150416	0.0115235	0.0542852	0.231334
2016-04-20 00:03:20	0.014638	0.0106956	0.048616	0.209586
2016-04-21 00:03:20	0.0143841	0.0110364	0.0407367	0.195942
2016-04-22 00:03:20	0.0142154	0.00851171	0.0372087	0.185946
2016-04-23 00:03:20	0.0140049	0.00765447	0.0347004	0.176031
2016-04-24 00:03:20	0.0136573	0.00758373	0.0336369	0.171864
2016-04-25 00:03:20	0.0134096	0.00750095	0.0338725	0.172938
2016-04-26 00:03:20	0.0132544	0.00745422	0.0333533	0.170051
2016-04-27 00:03:20	0.0129837	0.00757984	0.0348777	0.188457
2016-04-28 00:03:20	0.0128484	0.00790369	0.0365118	0.193312
2016-04-29 00:03:20	0.0187251	0.00840475	0.0380971	0.382758
2016-04-30 00:03:20	0.0243791	0.0134204	0.046886	0.785914
2016-05-01 00:03:20	0.0143985	0.0115355	0.0927408	1.7766
2016-05-02 00:03:20	0.0184763	0.0111138	0.1372	1.1052
2016-05-03 00:03:20	0.0602171	0.0237579	0.131442	1.16557
2016-05-04 00:03:20	0.0365929	0.0246054	0.121004	0.818915
2016-05-05 00:03:20	0.0151987	0.0139594	0.105838	0.350991
2016-05-06 00:03:20	0.0133076	0.0137346	0.0892852	0.298321
2016-05-07 00:03:20	0.0129625	0.0121934	0.0794233	0.262817
2016-05-08 00:03:20	0.0128083	0.0114787	0.0666848	0.24153
2016-05-09 00:03:20	0.0124302	0.007953	0.0602094	0.214652
2016-05-10 00:03:20	0.0122058	0.00699539	0.0526773	0.195981
2016-05-11 00:03:20	0.0119466	0.00692404	0.0459439	0.182626
2016-05-12 00:03:20	0.0117397	0.006848	0.0407374	0.172367
2016-05-13 00:03:20	0.0114498	0.00674211	0.0356574	0.16293
2016-05-14 00:03:20	0.0112466	0.00668807	0.032458	0.156866
2016-05-15 00:03:20	0.0108877	0.00661975	0.0275795	0.147926
2016-05-16 00:03:20	0.0105107	0.00654266	0.0243717	0.142003
2016-05-17 00:03:20	0.0102104	0.00644371	0.0211044	0.135716
2016-05-18 00:03:20	0.00981148	0.00636714	0.0252659	0.141202
2016-05-19 00:03:20	0.00950184	0.00632473	0.0442367	0.215127
2016-05-20 00:03:20	0.0093413	0.00628991	0.0459681	0.211108
2016-05-21 00:03:20	0.00920451	0.00624532	0.0452848	0.198437
2016-05-22 00:03:20	0.00902786	0.00618472	0.0469769	0.272359
2016-05-23 00:03:20	0.00890855	0.00611622	0.0480801	0.218448
2016-05-24 00:03:20	0.00881928	0.00606543	0.0463662	0.167355
2016-05-25 00:03:20	0.00864799	0.00599475	0.0416093	0.158803
2016-05-26 00:03:20	0.00848947	0.00592427	0.0374649	0.150668
2016-05-27 00:03:20	0.00836666	0.00588342	0.0376827	0.153473
2016-05-28 00:03:20	0.00829295	0.00586349	0.0365519	0.148232
2016-05-29 00:03:20	0.0081503	0.00579342	0.0330698	0.141465
2016-05-30 00:03:20	0.00804416	0.00572319	0.0296906	0.135161
2016-05-31 00:03:20	0.00793703	0.00566779	0.027133	0.130294
2016-06-01 00:03:20	0.007857	0.00559432	0.0245777	0.12543
2016-06-02 00:03:20	0.0077591	0.00553785	0.0226418	0.121662
2016-06-03 00:03:20	0.00765621	0.00548204	0.0200365	0.117045
2016-06-04 00:03:20	0.00755146	0.00541446	0.0172157	0.11192
2016-06-05 00:03:20	0.00743891	0.00536334	0.016179	0.10917
2016-06-06 00:03:20	0.00734635	0.00528263	0.0146925	0.106268
2016-06-07 00:03:20	0.00726085	0.00521375	0.0129334	0.103124
2016-06-08 00:03:20	0.00718609	0.0051482	0.0114413	0.099971
2016-06-09 00:03:20	0.00708179	0.00508383	0.0112033	0.0983793
2016-06-10 00:03:20	0.00699017	0.00502569	0.0107143	0.0965947
2016-06-11 00:03:20	0.00687497	0.00497517	0.010953	0.0954378
2016-06-12 00:03:20	0.00678255	0.00492436	0.0132055	0.0962659
2016-06-13 00:03:20	0.0066902	0.00488528	0.0171154	0.100159
2016-06-14 00:03:20	0.00665308	0.00485848	0.0185716	0.101654
2016-06-15 00:03:20	0.00658797	0.00481796	0.0206907	0.103367
2016-06-16 00:03:20	0.0065445	0.00479723	0.0216858	0.104075
2016-06-17 00:03:20	0.00646556	0.00476058	0.0223913	0.104406
2016-06-18 00:03:20	0.00643534	0.00473583	0.0225264	0.10438
2016-06-19 00:03:20	0.0063487	0.00468249	0.0228949	0.102928
2016-06-20 00:03:20	0.00629591	0.00466178	0.030218	0.111573
2016-06-21 00:03:20	0.00626409	0.00462829	0.0306795	0.112934
2016-06-22 00:03:20	0.00622453	0.0045848	0.0291844	0.110661
2016-06-23 00:03:20	0.00614594	0.00455369	0.0262435	0.106708
2016-06-24 00:03:20	0.00606047	0.00448415	0.0262826	0.10489
2016-06-25 00:03:20	0.0060058	0.00445715	0.0387763	0.137411
2016-06-26 00:03:20	0.00596467	0.00444245	0.040605	0.141948
2016-06-27 00:03:20	0.0059321	0.0044279	0.0416456	0.138212
2016-06-28 00:03:20	0.00589994	0.00441505	0.0402071	0.126321
2016-06-29 00:03:20	0.00584838	0.00438435	0.0391584	0.151565
2016-06-30 00:03:20	0.00580865	0.00437094	0.0415257	0.186734
2016-07-01 00:03:20	0.00577983	0.00435327	0.0465703	0.247339
2016-07-02 00:03:20	0.00575526	0.00432902	0.0503519	0.234456
2016-07-03 00:03:20	0.0057174	0.00431678	0.0487057	0.188395
2016-07-04 00:03:20	0.00568925	0.00430331	0.0504597	0.347722
2016-07-05 00:03:20	0.00568145	0.00428409	0.0584066	0.279119
2016-07-06 00:03:20	0.00566031	0.00426863	0.0548813	0.158738
2016-07-07 00:03:20	0.00562419	0.00425159	0.0499139	0.141276
2016-07-08 00:03:20	0.00558962	0.00423929	0.045305	0.163768
2016-07-09 00:03:20	0.00555579	0.00422676	0.0498136	0.217945
2016-07-10 00:03:20	0.00552961	0.00421923	0.0487152	0.165461
2016-07-11 00:03:20	0.00549185	0.00419659	0.0439073	0.132039
2016-07-12 00:03:20	0.00546972	0.00418281	0.0402614	0.125766
2016-07-13 00:03:20	0.00542423	0.00413908	0.0361175	0.119552
2016-07-14 00:03:20	0.0053763	0.00410012	0.0343818	0.116689
2016-07-15 00:03:20	0.00532157	0.00405845	0.0320615	0.122414
2016-07-16 00:03:20	0.00529847	0.0040361	0.0448861	0.181311
2016-07-17 00:03:20	0.00527672	0.0040196	0.0434795	0.130324
2016-07-18 00:03:20	0.00524316	0.00399384	0.0383239	0.121281
2016-07-19 00:03:20	0.00520234	0.00397397	0.0327469	0.113554
2016-07-20 00:03:20	0.0051447	0.0039106	0.0337702	0.231527
2016-07-21 00:03:20	0.0051326	0.00389411	0.0574684	0.326098
2016-07-22 00:03:20	0.00511299	0.00388331	0.0553506	0.151553
2016-07-23 00:03:20	0.0050788	0.00386351	0.0467543	0.134998
2016-07-24 00:03:20	0.00504995	0.0038555	0.0422383	0.125592
2016-07-25 00:03:20	0.00499429	0.00383848	0.040784	0.14779
2016-07-26 00:03:20	0.00496181	0.00382869	0.0457005	0.287348
2016-07-27 00:03:20	0.0049474	0.00381793	0.0553681	0.282302
2016-07-28 00:03:20	0.00491461	0.00381004	0.0536866	0.206684
2016-07-29 00:03:20	0.00489328	0.00380138	0.0512258	0.143287
2016-07-30 00:03:20	0.0048615	0.00376689	0.0450969	0.129533
2016-07-31 00:03:20	0.0047975	0.00373233	0.0394384	0.120521
2016-08-01 00:03:20	0.00476569	0.00370631	0.0359524	0.11482
2016-08-02 00:03:20	0.00472371	0.00367165	0.0319863	0.108438
2016-08-03 00:03:20	0.00468696	0.00365253	0.0320842	0.107023
2016-08-04 00:03:20	0.00465783	0.00363858	0.0357589	0.117225
2016-08-05 00:03:20	0.00463814	0.00363093	0.0392991	0.150731
2016-08-06 00:03:20	0.00461874	0.00362307	0.0439815	0.156737
2016-08-07 00:03:20	0.00460453	0.00361585	0.0425467	0.126534
2016-08-08 00:03:20	0.00457664	0.0036036	0.0413805	0.159055
2016-08-09 00:03:20	0.00455898	0.00359735	0.0413998	0.169593
2016-08-10 00:03:20	0.00456937	0.00359719	0.0519521	0.483622
2016-08-11 00:03:20	0.0048858	0.0036099	0.0698538	0.642989
2016-08-12 00:03:20	0.00504424	0.00363473	0.0804152	0.615456
2016-08-13 00:03:20	0.00510429	0.00364775	0.081493	0.395585
2016-08-14 00:03:20	0.0047065	0.00364733	0.0747941	0.288536
2016-08-15 00:03:20	0.00469728	0.00364724	0.0671955	0.176247
2016-08-16 00:03:20	0.0046889	0.00364275	0.0587917	0.151158
2016-08-17 00:03:20	0.00466439	0.0036449	0.0472849	0.133837
2016-08-18 00:03:20	0.00463749	0.00362839	0.0391206	0.120426
2016-08-19 00:03:20	0.00461353	0.0036043	0.0342565	0.111474
2016-08-20 00:03:20	0.00457762	0.00359107	0.0429281	0.136111
2016-08-21 00:03:20	0.00455511	0.00358697	0.0532964	0.183965
2016-08-22 00:03:20	0.00453663	0.00358303	0.0506566	0.147406
2016-08-23 00:03:20	0.00451903	0.00357791	0.0458473	0.129096
2016-08-24 00:03:20	0.00449966	0.0035671	0.0417175	0.121821
2016-08-25 00:03:20	0.00447931	0.00356113	0.0358126	0.113067
2016-08-26 00:03:20	0.00444237	0.00354478	0.0321583	0.1068
2016-08-27 00:03:20	0.00442559	0.00353627	0.0293977	0.102416
2016-08-28 00:03:20	0.00438337	0.0035237	0.0265236	0.0976602
2016-08-29 00:03:20	0.00436025	0.00351417	0.0259988	0.0962209
2016-08-30 00:03:20	0.00434063	0.00349236	0.024156	0.0934641
2016-08-31 00:03:20	0.00430216	0.00348019	0.0223005	0.090285
2016-09-01 00:03:20	0.00427242	0.00346844	0.0211878	0.0880759
2016-09-02 00:03:20	0.00424068	0.00345193	0.0213014	0.087366
2016-09-03 00:03:20	0.00421856	0.00343525	0.0231427	0.0887849
2016-09-04 00:03:20	0.0042013	0.00342917	0.0256446	0.0917076
2016-09-05 00:03:20	0.0041736	0.00342273	0.0269146	0.0935495
2016-09-06 00:03:20	0.00415311	0.00341685	0.0271316	0.0939046
2016-09-07 00:03:20	0.00412277	0.00339567	0.0246925	0.0905833
2016-09-08 00:03:20	0.00410479	0.0033853	0.0242285	0.0876529
2016-09-09 00:03:20	0.00409567	0.00336888	0.0342308	0.104432
2016-09-10 00:03:20	0.00409219	0.00336453	0.0384133	0.124782
2016-09-11 00:03:20	0.00407403	0.00335474	0.0377997	0.120096
2016-09-12 00:03:20	0.00405741	0.00334529	0.036126	0.109023
2016-09-13 00:03:20	0.00401817	0.00333778	0.0349518	0.105742
2016-09-14 00:03:20	0.00400144	0.0033334	0.0328373	0.101539
2016-09-15 00:03:20	0.00397502	0.0033179	0.0308781	0.0974176
2016-09-16 00:03:20	0.00395649	0.00331294	0.0281831	0.0930755
2016-09-17 00:03:20	0.00393228	0.00329118	0.0286249	0.0931005
2016-09-18 00:03:20	0.00390965	0.00328669	0.0282155	0.0988491
2016-09-19 00:03:20	0.00389937	0.00328294	0.0272319	0.0909542
2016-09-20 00:03:20	0.00387546	0.00327865	0.0260343	0.0889039
2016-09-21 00:03:20	0.00385324	0.00325866	0.0248268	0.0867138
2016-09-22 00:03:20	0.00383906	0.00324854	0.0276548	0.103163
2016-09-23 00:03:20	0.00383967	0.00324522	0.0341019	0.130627
2016-09-24 00:03:20	0.00382948	0.00324111	0.0345012	0.117407
2016-09-25 00:03:20	0.00382088	0.00323766	0.0341884	0.111393
2016-09-26 00:03:20	0.00382273	0.00323363	0.034294	0.127664
2016-09-27 00:03:20	0.00382995	0.00322965	0.0343005	0.115048
2016-09-28 00:03:20	0.00381796	0.00322556	0.0351311	0.139447
2016-09-29 00:03:20	0.00401586	0.00323534	0.0413866	0.2007
2016-09-30 00:03:20	0.00413332	0.00324578	0.0441671	0.179869
2016-10-01 00:03:20	0.00394282	0.00324903	0.0430669	0.151688
2016-10-02 00:03:20	0.00399285	0.00325097	0.0414887	0.144272
2016-10-03 00:03:20	0.00403141	0.00325239	0.0404826	0.126111
2016-10-04 00:03:20	0.00392279	0.00324723	0.037322	0.110829
2016-10-05 00:03:20	0.00394965	0.00324782	0.0352872	0.105509
2016-10-06 00:03:20	0.00390288	0.00324746	0.0326126	0.0993273
2016-10-07 00:03:20	0.00388351	0.00324627	0.0312809	0.0976036
2016-10-08 00:03:20	0.00387131	0.00324671	0.0297353	0.0945289
2016-10-09 00:03:20	0.00385622	0.00324669	0.0287441	0.0944005
2016-10-10 00:03:20	0.00384146	0.00324692	0.0281996	0.0975519
2016-10-11 00:03:20	0.00382903	0.00324929	0.0284376	0.102213
2016-10-12 00:03:20	0.00381705	0.00325217	0.0292779	0.105599
2016-10-13 00:03:20	0.00380923	0.00325566	0.0308907	0.116175
2016-10-14 00:03:20	0.00390087	0.00338376	0.0355584	0.140795
2016-10-15 00:03:20	0.00395146	0.00347188	0.0416257	0.180655
2016-10-16 00:03:20	0.00395527	0.003497	0.0458223	0.17451
2016-10-17 00:03:20	0.00394258	0.00347507	0.0456233	0.16453
2016-10-18 00:03:20	0.00415417	0.00361709	0.048972	0.25467
2016-10-19 00:03:20	0.00433257	0.0040666	0.0540366	0.225474
2016-10-20 00:03:20	0.00404735	0.00369094	0.0510448	0.177841
2016-10-21 00:03:20	0.00400337	0.00366518	0.048214	0.1632
2016-10-22 00:03:20	0.00400688	0.00376745	0.0459424	0.154038
2016-10-23 00:03:20	0.00399667	0.0036236	0.0441268	0.145482
2016-10-24 00:03:20	0.00404642	0.00379941	0.0427711	0.152323
2016-10-25 00:03:20	0.00402064	0.0037446	0.0412524	0.144874
2016-10-26 00:03:20	0.00397805	0.00365034	0.0402575	0.126505
2016-10-27 00:03:20	0.00393546	0.003729	0.0390049	0.129803
2016-10-28 00:03:20	0.00398883	0.00377617	0.0382113	0.1228
2016-10-29 00:03:20	0.00387671	0.003697	0.036641	0.113277
2016-10-30 00:03:20	0.00391832	0.00375356	0.0353823	0.112196
2016-10-31 00:03:20	0.00395824	0.00375674	0.0343682	0.120587
2016-11-01 00:03:20	0.00416372	0.00375469	0.0346639	0.132028
2016-11-02 00:03:20	0.00409736	0.00368859	0.0344365	0.124897
2016-11-03 00:03:20	0.00417079	0.00371026	0.034515	0.125933
2016-11-04 00:03:20	0.0041713	0.00396913	0.0359135	0.163529
2016-11-05 00:03:20	0.00413545	0.003806	0.0378376	0.154857
2016-11-06 00:03:20	0.00408464	0.00379241	0.0387644	0.186421
2016-11-07 00:03:20	0.00406237	0.00377413	0.0416698	0.173141
2016-11-08 00:03:20	0.00407917	0.00369261	0.040957	0.143041
2016-11-09 00:03:20	0.00399733	0.00379187	0.0419226	0.232021
2016-11-10 00:03:20	0.00482138	0.00537391	0.0469663	0.243035
2016-11-11 00:03:20	0.011684	0.00856684	0.0592811	0.700354
2016-11-12 00:03:20	0.0235725	0.00881341	0.0871963	0.948787
2016-11-13 00:03:20	0.0214761	0.00893624	0.103097	0.84006
2016-11-14 00:03:20	0.0108898	0.00667458	0.101919	0.523302
2016-11-15 00:03:20	0.00626103	0.00613702	0.0925694	0.387819
2016-11-16 00:03:20	0.0268449	0.0122707	0.0878928	0.699182
2016-11-17 00:03:20	0.042686	0.0278014	0.0958117	0.971804
2016-11-18 00:03:20	0.0182937	0.0204778	0.0979573	0.635773
2016-11-19 00:03:20	0.00756975	0.0113086	0.0897149	0.408504
2016-11-20 00:03:20	0.00668339	0.00953541	0.0804488	0.322917
2016-11-21 00:03:20	0.0285264	0.0212158	0.0843689	1.17854
2016-11-22 00:03:20	0.0806587	0.0499671	0.128132	2.96984
2016-11-23 00:03:20	0.0315772	0.0305458	0.159167	1.43014
2016-11-24 00:03:20	0.0112313	0.0148192	0.139598	0.714771
2016-11-25 00:03:20	0.00973713	0.0123181	0.12167	0.575706
2016-11-26 00:03:20	0.0089772	0.0105854	0.107187	0.490093
2016-11-27 00:03:20	0.00845012	0.00964137	0.0963332	0.404446
2016-11-28 00:03:20	0.00819928	0.0087537	0.0871454	0.356405
2016-11-29 00:03:20	0.00752078	0.00763319	0.0792538	0.301409
2016-11-30 00:03:20	0.00686884	0.00723848	0.0706369	0.270992
2016-12-01 00:03:20	0.00673517	0.0068289	0.0647869	0.244699
2016-12-02 00:03:20	0.00659334	0.00637856	0.0601831	0.222834
2016-12-03 00:03:20	0.00656916	0.00620656	0.0560812	0.211656
2016-12-04 00:03:20	0.0065415	0.00604303	0.0528366	0.19832
2016-12-05 00:03:20	0.00656454	0.00607861	0.0496816	0.190819
2016-12-06 00:03:20	0.0100839	0.00875	0.0499581	0.298405
2016-12-07 00:03:20	0.0142405	0.0117879	0.0541523	0.309163
