Time	Shiplaw_Burn	Middle_Burn	Middle_Longcote	Kidston_Mill
2011-03-22 00:00:00	0.016	0.012	0.025	0.942
2011-03-23 00:00:00	0.014	0.011	0.023	0.841
2011-03-24 00:00:00	0.012	0.01	0.022	0.76
2011-03-25 00:00:00	0.006	0.01	0.02	0.709
2011-03-26 00:00:00	0.004	0.009	0.02	0.667
2011-03-27 00:00:00	0.004	0.009	0.019	0.621
2011-03-28 00:00:00	0.004	0.008	0.018	0.58
2011-03-29 00:00:00	0.004	0.009	0.018	0.571
2011-03-30 00:00:00	0.006	0.01	0.02	0.61
2011-03-31 00:00:00	0.016	0.017	0.021	0.796
2011-04-01 00:00:00	0.01	0.012	0.017	0.653
2011-04-02 00:00:00	0.01	0.011	0.017	0.612
2011-04-03 00:00:00	0.006	0.009	0.016	0.537
2011-04-04 00:00:00	0.017	0.015	0.018	0.631
2011-04-05 00:00:00	0.059	0.03	0.026	1.242
2011-04-06 00:00:00	0.168	0.119	0.035	2.543
2011-04-07 00:00:00	0.026	0.026	0.027	1.066
2011-04-08 00:00:00	0.019	0.015	0.025	0.83
2011-04-09 00:00:00	0.016	0.012	0.024	0.728
2011-04-10 00:00:00	0.008	0.011	0.023	0.668
2011-04-11 00:00:00	0.006	0.01	0.022	0.634
2011-04-12 00:00:00	0.005	0.009	0.021	0.59
2011-04-13 00:00:00	0.004	0.009	0.02	0.569
2011-04-14 00:00:00	0.004	0.009	0.019	0.532
2011-04-15 00:00:00	0.004	0.008	0.018	0.517
2011-04-16 00:00:00	0.004	0.008	0.018	0.494
2011-04-17 00:00:00	0.003	0.008	0.017	0.455
2011-04-18 00:00:00	0.004	0.008	0.016	0.438
2011-04-19 00:00:00	0.003	0.008	0.016	0.418
2011-04-20 00:00:00	0.004	0.007	0.015	0.399
2011-04-21 00:00:00	0.003	0.007	0.015	0.375
2011-04-22 00:00:00	0.003	0.007	0.015	0.37
2011-04-23 00:00:00	0.004	0.008	0.017	0.425
2011-04-24 00:00:00	0.003	0.007	0.015	0.376
2011-04-25 00:00:00	0.003	0.007	0.014	0.344
2011-04-26 00:00:00	0.003	0.007	0.013	0.327
2011-04-27 00:00:00	0.003	0.006	0.013	0.319
2011-04-28 00:00:00	0.002	0.006	0.012	0.304
2011-04-29 00:00:00	0.002	0.006	0.012	0.294
2011-04-30 00:00:00	0.002	0.006	0.012	0.28
2011-05-01 00:00:00	0.002	0.006	0.011	0.273
2011-05-02 00:00:00	0.002	0.006	0.011	0.273
2011-05-03 00:00:00	0.002	0.006	0.011	0.274
2011-05-04 00:00:00	0.002	0.006	0.011	0.27
2011-05-05 00:00:00	0.002	0.006	0.012	0.277
2011-05-06 00:00:00	0.005	0.009	0.015	0.377
2011-05-07 00:00:00	0.004	0.009	0.017	0.435
2011-05-08 00:00:00	0.003	0.009	0.017	0.424
2011-05-09 00:00:00	0.003	0.008	0.015	0.35
2011-05-10 00:00:00	0.003	0.008	0.015	0.364
2011-05-11 00:00:00	0.003	0.008	0.014	0.353
2011-05-12 00:00:00	0.004	0.008	0.015	0.35
2011-05-13 00:00:00	0.004	0.009	0.014	0.335
2011-05-14 00:00:00	0.002	0.007	0.012	0.289
2011-05-15 00:00:00	0.002	0.007	0.012	0.284
2011-05-16 00:00:00	0.006	0.008	0.013	0.31
2011-05-17 00:00:00	0.006	0.008	0.013	0.312
2011-05-18 00:00:00	0.004	0.007	0.013	0.305
2011-05-19 00:00:00	0.003	0.007	0.012	0.267
2011-05-20 00:00:00	0.003	0.007	0.011	0.259
2011-05-21 00:00:00	0.003	0.007	0.012	0.27
2011-05-22 00:00:00	0.006	0.008	0.014	0.315
2011-05-23 00:00:00	0.071	0.046	0.02	0.886
2011-05-24 00:00:00	0.055	0.036	0.02	0.865
2011-05-25 00:00:00	0.015	0.013	0.014	0.474
2011-05-26 00:00:00	0.01	0.01	0.014	0.372
2011-05-27 00:00:00	0.003	0.009	0.014	0.351
2011-05-28 00:00:00	0.009	0.009	0.015	0.397
2011-05-29 00:00:00	0.007	0.008	0.014	0.358
2011-05-30 00:00:00	0.005	0.007	0.013	0.307
