Time	Shiplaw_Burn	Middle_Burn	Middle_Longcote	Kidston_Mill
2011-03-22 00:00:50	0	0	0	0
2011-03-23 00:00:50	0.017228	0.0096799	0.0638915	0.233073
2011-03-24 00:00:50	0.0153774	0.0116485	0.0678537	0.282759
2011-03-25 00:00:50	0.0142893	0.00943708	0.0613514	0.235569
2011-03-26 00:00:50	0.0134283	0.00845367	0.0540926	0.205192
2011-03-27 00:00:50	0.0131475	0.00897206	0.0480337	0.196872
2011-03-28 00:00:50	0.0126632	0.00732437	0.0440118	0.172418
2011-03-29 00:00:50	0.0123516	0.00599347	0.0396043	0.168054
2011-03-30 00:00:50	0.0127591	0.00582072	0.0386978	0.208606
2011-03-31 00:00:50	0.0208688	0.0118444	0.0421252	0.357293
2011-04-01 00:00:50	0.0209712	0.0153335	0.0449381	0.366167
2011-04-02 00:00:50	0.0152248	0.0087048	0.0427024	0.219136
2011-04-03 00:00:50	0.0155023	0.00901921	0.0404162	0.243063
2011-04-04 00:00:50	0.0137645	0.00839421	0.0378469	0.18149
2011-04-05 00:00:50	0.042919	0.0123679	0.0413596	0.725502
2011-04-06 00:00:50	0.129089	0.0524721	0.0553325	1.77653
2011-04-07 00:00:50	0.0511585	0.0341376	0.0621909	0.978148
2011-04-08 00:00:50	0.0157231	0.0160272	0.0558043	0.289191
2011-04-09 00:00:50	0.0141398	0.011492	0.0510823	0.22377
2011-04-10 00:00:50	0.0122169	0.00564658	0.044076	0.17251
2011-04-11 00:00:50	0.0116954	0.00512773	0.0385816	0.156957
2011-04-12 00:00:50	0.0114675	0.0051429	0.0349083	0.151957
2011-04-13 00:00:50	0.0112765	0.0050916	0.0324003	0.145326
2011-04-14 00:00:50	0.011156	0.00504623	0.0303423	0.137797
2011-04-15 00:00:50	0.0109769	0.00501793	0.0282082	0.132848
2011-04-16 00:00:50	0.0106999	0.00498902	0.0266473	0.128894
2011-04-17 00:00:50	0.0103987	0.00495808	0.0250476	0.125111
2011-04-18 00:00:50	0.0101659	0.00492627	0.0234206	0.121063
2011-04-19 00:00:50	0.00960206	0.0048915	0.0216605	0.116723
2011-04-20 00:00:50	0.00930586	0.00485781	0.0202068	0.112994
2011-04-21 00:00:50	0.00899078	0.0048234	0.0187215	0.109486
2011-04-22 00:00:50	0.00875054	0.00479259	0.0176749	0.106521
2011-04-23 00:00:50	0.00849467	0.00475992	0.0176377	0.104614
2011-04-24 00:00:50	0.00826142	0.00474321	0.0208702	0.108707
2011-04-25 00:00:50	0.0081518	0.00473302	0.021249	0.109084
2011-04-26 00:00:50	0.0080424	0.00471929	0.0205565	0.107218
2011-04-27 00:00:50	0.007898	0.00469546	0.019514	0.104857
2011-04-28 00:00:50	0.00775078	0.00466244	0.0179699	0.101674
2011-04-29 00:00:50	0.00756965	0.00463219	0.0166437	0.0986723
2011-04-30 00:00:50	0.00744835	0.00460284	0.0156318	0.0962465
2011-05-01 00:00:50	0.00734515	0.00457749	0.0150432	0.0944148
2011-05-02 00:00:50	0.00719552	0.00454336	0.0140673	0.092214
2011-05-03 00:00:50	0.0070951	0.00451216	0.0134403	0.0903951
2011-05-04 00:00:50	0.00701191	0.00448257	0.0129667	0.0888811
2011-05-05 00:00:50	0.00690656	0.00444422	0.0123084	0.0870534
2011-05-06 00:00:50	0.00682887	0.00442298	0.0143184	0.0880092
2011-05-07 00:00:50	0.00690188	0.00441511	0.0230406	0.102495
2011-05-08 00:00:50	0.00698738	0.00442483	0.0343377	0.170434
2011-05-09 00:00:50	0.00689789	0.00441509	0.0395102	0.192108
2011-05-10 00:00:50	0.00687572	0.00440612	0.0405252	0.18011
2011-05-11 00:00:50	0.00687853	0.00439841	0.0396174	0.174698
2011-05-12 00:00:50	0.00708484	0.00439881	0.0381043	0.173485
2011-05-13 00:00:50	0.0104841	0.00440506	0.0369392	0.169111
2011-05-14 00:00:50	0.00922831	0.00440296	0.0353755	0.145189
2011-05-15 00:00:50	0.00730708	0.00439816	0.033516	0.123217
2011-05-16 00:00:50	0.00702271	0.0043914	0.0307294	0.121044
2011-05-17 00:00:50	0.00702138	0.00437907	0.0294237	0.120985
