Time	Precip	Canopy Stor. Change	Evapotrans	Snow Stor.Change	OL Stor.Change	OL Bou.Inflow	OL Bou.Outflow	OL->Ext.Sinks	OL->River/MOUSE	OL Drain Stor. Change	OL Drain->River/MOUSE	OL Drain->OL IN	OL Drain->OL OUT	Irrigation	SubSurf.Stor.Change	SubSurf.Bou.Inflow	SubSurf.Bou.Outflow	SubSurf->Ext.Sinks	Pumping	SZ Drain->River	SZ Drain->Ext.River	SZ Drain Inflow	SZ Drain Outflow	Baseflow to river	Baseflow from river	Error
2011-03-22 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011-03-23 00:00:00	0	-0.967763	1.34761	0	-0.0100251	0	0.000102341	0	0	0	0	0	0	0	-1.00184	-0.230233	0.0616604	0	0	1.71958	0	0	0	0.0926103	-0.0324413	0.979257
2011-03-24 00:00:00	0	-0.718397	1.55255	0	-0.0165417	0	0	0	0	0	0	0	0	0	-1.24951	-0.229707	0.0615548	0	0	1.51475	0	0	0	0.0921672	-0.0360945	0.970771
2011-03-25 00:00:00	0	-0.51309	1.14016	0	-0.0123801	0	0	0	0	0	0	0	0	0	-0.749973	-0.22915	0.0614455	0	0	1.33056	0	0	0	0.0921927	-0.0336206	1.08614
2011-03-26 00:00:00	0	-0.439469	1.21629	0	-0.0122644	0	0	0	0	0	0	0	0	0	-1.02009	-0.228692	0.0613583	0	0	1.19876	0	0	0	0.0921578	-0.0303274	0.837726
2011-03-27 00:00:00	0	0	1.17355	0	-0.00888372	0	0	0	0	0	0	0	0	0	-1.2602	-0.22827	0.0612789	0	0	1.08274	0	0	0	0.0921352	-0.0281467	0.88421
2011-03-28 00:00:00	0	0	1.25153	0	-0.00522837	0	0	0	0	0	0	0	0	0	-1.65139	-0.227646	0.0611654	0	0	0.948194	0	0	0	0.0921153	-0.0266359	0.442102
2011-03-29 00:00:00	-1.58649	0.204359	1.25708	0	0.00099614	0	0	0	0	0	0	0	0	0	0.0135676	-0.227344	0.0611152	0	0	0.894559	0	0	0	0.0919692	-0.0243081	0.685502
2011-03-30 00:00:00	-3.5955	0.227664	1.39564	0	0.0122831	0	0	0	0	0	0	0	0	0	0.999672	-0.227185	0.0610978	0	0	0.89905	0	0	0	0.0920129	-0.02363	-0.158893
2011-03-31 00:00:00	-6.03153	0.0642023	1.48199	0	0.0434017	-0.00616444	0.00857357	0	0	0	0	0	0	0	2.4579	-0.227497	0.0611697	0	0	0.99403	0	0	0	0.092148	-0.0257273	-1.0875
2011-04-01 00:00:00	-0.795496	-0.47913	1.67497	0	-0.00810016	-0.000164621	0.000599955	0	0	0	0	0	0	0	-0.766546	-0.227318	0.0611495	0	0	1.01701	0	0	0	0.0922826	-0.0269586	0.542296
2011-04-02 00:00:00	-2.58199	0.485231	1.65528	0	0.00545116	0	0.00155229	0	0	0	0	0	0	0	-0.228197	-0.226832	0.0610599	0	0	0.953629	0	0	0	0.0921823	-0.0260943	0.191274
2011-04-03 00:00:00	0	-0.497997	1.37033	0	-0.0143458	0	0.000238274	0	0	0	0	0	0	0	-0.88838	-0.226539	0.0610076	0	0	0.912352	0	0	0	0.0920762	-0.0248058	0.783939
2011-04-04 00:00:00	-1.61801	0.130526	1.48528	0	-6.16593E-05	0	0.000160656	0	0	0	0	0	0	0	-0.329827	-0.226069	0.060927	0	0	0.846718	0	0	0	0.092084	-0.0231533	0.418569
2011-04-05 00:00:00	-11.8	0.629894	1.89025	0	0.0247417	-0.0182178	0.0564177	0	0	0	0	0	0	0	5.66382	-0.226923	0.0611033	0	0	1.00591	0	0	0	0.092283	-0.0249763	-2.6457
2011-04-06 00:00:00	-11.6	0.0402851	1.99649	0	0.00567615	-0.0244991	0.0700352	0	0	0	0	0	0	0	5.60653	-0.228495	0.0614087	0	0	1.35602	0	0	0	0.0931001	-0.0306837	-2.65413
2011-04-07 00:00:00	0	-0.774243	1.60964	0	-0.0187377	-0.000276025	0.00186966	0	0	0	0	0	0	0	-1.12305	-0.228617	0.061427	0	0	1.41771	0	0	0	0.093517	-0.0337978	1.00545
2011-04-08 00:00:00	0	-0.0134584	1.49824	0	-0.0219884	0	4.58018E-05	0	0	0	0	0	0	0	-1.68547	-0.228132	0.0613367	0	0	1.2522	0	0	0	0.0934701	-0.0309489	0.925288
2011-04-09 00:00:00	0	-0.0173395	2.28429	0	-0.0282123	0	0	0	0	0	0	0	0	0	-2.25758	-0.227446	0.0612143	0	0	1.04719	0	0	0	0.0934455	-0.0293501	0.92621
2011-04-10 00:00:00	0	0	1.92523	0	-0.00497571	0	0	0	0	0	0	0	0	0	-1.16525	-0.226819	0.0611093	0	0	0.88686	0	0	0	0.0932875	-0.0267491	1.5427
2011-04-11 00:00:00	-0.804504	0	1.61395	0	-0.000971629	0	0	0	0	0	0	0	0	0	-1.23316	-0.226462	0.061055	0	0	0.816782	0	0	0	0.0937434	-0.0236116	0.296814
2011-04-12 00:00:00	-0.2	0	1.39323	0	-0.000167227	0	0	0	0	0	0	0	0	0	-1.28584	-0.226195	0.0610098	0	0	0.773733	0	0	0	0.0932662	-0.0216849	0.587354
2011-04-13 00:00:00	0	0	1.47759	0	-0.000950475	0	0	0	0	0	0	0	0	0	-1.50509	-0.22562	0.0609056	0	0	0.696848	0	0	0	0.0932666	-0.0206283	0.576316
2011-04-14 00:00:00	-0.195496	0	1.6522	0	-0.000149584	0	0	0	0	0	0	0	0	0	-1.11374	-0.224967	0.0607869	0	0	0.626702	0	0	0	0.0931099	-0.0197898	0.878651
