Time	Precip	Canopy Stor. Change	Evapotrans	Snow Stor.Change	OL Stor.Change	OL Bou.Inflow	OL Bou.Outflow	OL->Ext.Sinks	OL->River/MOUSE	OL Drain Stor. Change	OL Drain->River/MOUSE	OL Drain->OL IN	OL Drain->OL OUT	Irrigation	SubSurf.Stor.Change	SubSurf.Bou.Inflow	SubSurf.Bou.Outflow	SubSurf->Ext.Sinks	Pumping	SZ Drain->River	SZ Drain->Ext.River	SZ Drain Inflow	SZ Drain Outflow	Baseflow to river	Baseflow from river	Error
2011-03-22 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011-03-23 00:00:00	0	-0.630556	1.37563	0	-0.524858	-0.00376667	0.00336477	0	0.155222	0	0	0	0	0	-0.639403	-0.0655426	0.0754486	0	0	0	0	0	0	0.342774	-0.0096712	0.0786389
2011-03-24 00:00:00	0	-0.660271	1.58852	0	-0.49578	-0.00251787	0.00185337	0	0.0690594	0	0	0	0	0	-0.492018	-0.0655349	0.0754344	0	0	0	0	0	0	0.340957	-0.00871594	0.350987
2011-03-25 00:00:00	0	-0.487483	1.16972	0	-0.400039	-0.00154785	0.00107163	0	0.0422958	0	0	0	0	0	-0.303557	-0.0655148	0.0754104	0	0	0	0	0	0	0.339633	-0.00810728	0.361882
2011-03-26 00:00:00	0	-0.372867	1.24661	0	-0.28373	-0.00121376	0.000750745	0	0.0201579	0	0	0	0	0	-0.277992	-0.0654895	0.0753538	0	0	0	0	0	0	0.33735	-0.00767468	0.671258
2011-03-27 00:00:00	0	-0.246465	1.2214	0	-0.319302	-3.94479E-05	1.31385E-06	0	0.0176511	0	0	0	0	0	-0.353271	-0.0654591	0.0752864	0	0	0	0	0	0	0.334104	-0.00763545	0.656271
2011-03-28 00:00:00	0	-0.155925	1.29469	0	-0.200998	-7.83555E-06	0	0	0.0061163	0	0	0	0	0	-0.445192	-0.065394	0.0751898	0	0	0	0	0	0	0.331372	-0.00740153	0.832452
2011-03-29 00:00:00	-0.610909	0	1.23832	0	-0.0445383	-9.4209E-06	0	0	0.00344098	0	0	0	0	0	-0.219683	-0.0653372	0.0751348	0	0	0	0	0	0	0.327259	-0.00721971	0.696456
2011-03-30 00:00:00	-3.78909	0.94252	1.42483	0	0.402258	-0.00187708	0.00288827	0	0.0199965	0	0	0	0	0	0.70043	-0.065339	0.0751175	0	0	0	0	0	0	0.323188	-0.00761478	0.0273118
2011-03-31 00:00:00	-7.20546	0.344687	1.51358	0	1.53109	-0.0211563	0.0345437	0	0.255965	0	0	0	0	0	2.06417	-0.0654299	0.0752015	0	0	0	0	0	0	0.320128	-0.00955495	-1.16223
2011-04-01 00:00:00	-0.794545	-0.541829	1.73446	0	-0.471155	-0.00417151	0.01365	0	0.222646	0	0	0	0	0	-0.246452	-0.0654807	0.0752063	0	0	0	0	0	0	0.322952	-0.0102537	0.235029
2011-04-02 00:00:00	-2.57818	0.446964	1.69488	0	0.208551	-0.00533338	0.00878583	0	0.083527	0	0	0	0	0	0.0490038	-0.0654586	0.0751461	0	0	0	0	0	0	0.322491	-0.00841191	0.231966
2011-04-03 00:00:00	0	-0.743006	1.46842	0	-0.439252	-0.00113897	0.00369973	0	0.0936203	0	0	0	0	0	-0.186702	-0.0653992	0.0750939	0	0	0	0	0	0	0.319659	-0.00845918	0.516532
2011-04-04 00:00:00	-2.59455	0.565049	1.5182	0	0.263617	-0.00214202	0.0028374	0	0.0532586	0	0	0	0	0	0.191039	-0.0653808	0.0750347	0	0	0	0	0	0	0.315914	-0.00817294	0.314706
2011-04-05 00:00:00	-8.49273	0.980533	1.92989	0	0.904997	-0.0918486	0.327285	0	0.888812	0	0	0	0	0	2.03879	-0.0655109	0.0750534	0	0	0	0	0	0	0.308877	-0.0135515	-1.2094
2011-04-06 00:00:00	-13.3509	0.127724	2.03731	0	0.696339	-0.281503	0.688416	0	3.17787	0	0	0	0	0	4.26202	-0.0658512	0.0751068	0	0	0	0	0	0	0.304038	-0.0266511	-2.3561
2011-04-07 00:00:00	0	-0.912124	1.72703	0	-1.25929	-0.0266483	0.0385631	0	0.935922	0	0	0	0	0	-0.774544	-0.0659432	0.0751869	0	0	0	0	0	0	0.318306	-0.0161574	0.040298
2011-04-08 00:00:00	0	-0.662965	1.71049	0	-0.422859	-0.00183613	0.00207564	0	0.0928079	0	0	0	0	0	-0.577354	-0.0658732	0.0752074	0	0	0	0	0	0	0.322267	-0.00893254	0.463032
2011-04-09 00:00:00	0	-0.547532	2.60841	0	-1.05672	-4.88866E-05	7.63693E-06	0	0.0545359	0	0	0	0	0	-0.79118	-0.0658413	0.0751029	0	0	0	0	0	0	0.320394	-0.00831372	0.588814
2011-04-10 00:00:00	0	0	2.16553	0	-0.801177	0	0	0	0.00871181	0	0	0	0	0	-1.06233	-0.0657723	0.0749946	0	0	0	0	0	0	0.31749	-0.00734337	0.630098
2011-04-11 00:00:00	-0.805454	0	1.73085	0	-0.0121351	0	0	0	0	0	0	0	0	0	-0.405173	-0.0657376	0.0749213	0	0	0	0	0	0	0.312276	-0.00705034	0.822492
2011-04-12 00:00:00	-0.00545455	0	1.5226	0	0.00400307	0	0	0	0	0	0	0	0	0	-0.624426	-0.0656993	0.0748592	0	0	0	0	0	0	0.306503	-0.00700945	1.20537
2011-04-13 00:00:00	-0.194545	0	1.65588	0	-0.17176	0	0	0	0	0	0	0	0	0	-0.602002	-0.0655916	0.0747436	0	0	0	0	0	0	0.301565	-0.00698797	0.991297
2011-04-14 00:00:00	0	0	1.77708	0	-0.23645	0	0	0	0	0	0	0	0	0	-0.809228	-0.0654795	0.0746044	0	0	0	0	0	0	0.29843	-0.00697165	1.03199
2011-04-15 00:00:00	-0.610909	0	1.72188	0	0.00470049	0	0	0	0	0	0	0	0	0	-0.550641	-0.0654175	0.0745236	0	0	0	0	0	0	0.293602	-0.00694221	0.860797
