Time	Precip	Canopy Stor. Change	Evapotrans	Snow Stor.Change	OL Stor.Change	OL Bou.Inflow	OL Bou.Outflow	OL->Ext.Sinks	OL->River/MOUSE	OL Drain Stor. Change	OL Drain->River/MOUSE	OL Drain->OL IN	OL Drain->OL OUT	Irrigation	SubSurf.Stor.Change	SubSurf.Bou.Inflow	SubSurf.Bou.Outflow	SubSurf->Ext.Sinks	Pumping	SZ Drain->River	SZ Drain->Ext.River	SZ Drain Inflow	SZ Drain Outflow	Baseflow to river	Baseflow from river	Error
2011-03-22 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011-03-23 00:00:00	0	-0.702826	1.35015	0	-0.341369	-0.00381754	0.0154025	0	0.159495	0	0	0	0	0	-0.784135	-0.011512	0.0170966	0	0	0.0721391	0.0391553	0	0	0.136335	-0.0147882	-0.0686779
2011-03-24 00:00:00	0	-0.473798	1.55623	0	-0.415136	-0.00380033	0.0104324	0	0.0966642	0	0	0	0	0	-0.780223	-0.011505	0.0170727	0	0	0.0609297	0.0345662	0	0	0.135912	-0.0152747	0.212072
2011-03-25 00:00:00	0	-0.305065	1.14252	0	-0.338204	-0.00241985	0.00583036	0	0.052334	0	0	0	0	0	-0.519065	-0.0114955	0.0170458	0	0	0.0507372	0.0298843	0	0	0.135769	-0.0143033	0.243568
2011-03-26 00:00:00	0	-0.231049	1.21839	0	-0.186898	-0.00207463	0.00518868	0	0.0305628	0	0	0	0	0	-0.477743	-0.0114852	0.0170219	0	0	0.0436102	0.0265989	0	0	0.135284	-0.0135332	0.553872
2011-03-27 00:00:00	0	-0.0848199	1.19262	0	-0.302499	-0.00172251	0.00332227	0	0.0342504	0	0	0	0	0	-0.52416	-0.0114764	0.0169994	0	0	0.0378502	0.0239344	0	0	0.134717	-0.0132426	0.505774
2011-03-28 00:00:00	0	-0.0416906	1.26911	0	-0.194112	-9.75042E-05	0.000585927	0	0.00689695	0	0	0	0	0	-0.680323	-0.0114634	0.0169634	0	0	0.0314812	0.0210525	0	0	0.134235	-0.0124119	0.540225
2011-03-29 00:00:00	-1.00903	0.049048	1.23791	0	0.0271684	-0.00126694	0.00635617	0	0.0204493	0	0	0	0	0	-0.0109871	-0.0114572	0.0169451	0	0	0.0287463	0.0199276	0	0	0.1334	-0.0117812	0.49543
2011-03-30 00:00:00	-3.54929	0.448337	1.39891	0	0.395462	-0.00390283	0.0208627	0	0.0931376	0	0	0	0	0	0.896888	-0.0114552	0.0169368	0	0	0.0292132	0.0199343	0	0	0.132789	-0.0118536	-0.12403
2011-03-31 00:00:00	-6.69068	0.303461	1.48598	0	0.971521	-0.00992935	0.047502	0	0.334999	0	0	0	0	0	2.37162	-0.011465	0.0169566	0	0	0.0342725	0.0220976	0	0	0.132157	-0.0142671	-1.00578
