Time	Precip	Canopy Stor. Change	Evapotrans	Snow Stor.Change	OL Stor.Change	OL Bou.Inflow	OL Bou.Outflow	OL->Ext.Sinks	OL->River/MOUSE	OL Drain Stor. Change	OL Drain->River/MOUSE	OL Drain->OL IN	OL Drain->OL OUT	Irrigation	SubSurf.Stor.Change	SubSurf.Bou.Inflow	SubSurf.Bou.Outflow	SubSurf->Ext.Sinks	Pumping	SZ Drain->River	SZ Drain->Ext.River	SZ Drain Inflow	SZ Drain Outflow	Baseflow to river	Baseflow from river	Error
2011-03-22 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011-03-23 00:00:00	0	-0.966961	1.34745	0	-0.0107308	0	9.51512E-05	0	0	0	0	0	0	0	-0.947698	-0.230237	0.0616614	0	0	1.72085	0	0	0	0.0926079	-0.03243	1.0346
2011-03-24 00:00:00	0	-0.717468	1.55236	0	-0.0175355	0	0	0	0	0	0	0	0	0	-1.08129	-0.229738	0.0615614	0	0	1.52274	0	0	0	0.0921726	-0.0358485	1.14696
2011-03-25 00:00:00	0	-0.51257	1.14003	0	-0.0127865	0	0	0	0	0	0	0	0	0	-0.860494	-0.229221	0.06146	0	0	1.34361	0	0	0	0.0922104	-0.0325943	0.98965
2011-03-26 00:00:00	0	-0.441723	1.21697	0	-0.013649	0	0	0	0	0	0	0	0	0	-1.44065	-0.228578	0.0613385	0	0	1.17517	0	0	0	0.0922519	-0.0305248	0.390603
2011-03-27 00:00:00	0	0	1.17416	0	-0.00602059	0	0	0	0	0	0	0	0	0	-0.888371	-0.228258	0.061283	0	0	1.08124	0	0	0	0.0920521	-0.0283631	1.25773
2011-03-28 00:00:00	0	0	1.2523	0	-0.00531451	0	0	0	0	0	0	0	0	0	-1.69186	-0.2277	0.06118	0	0	0.951643	0	0	0	0.092143	-0.0265821	0.405811
2011-03-29 00:00:00	-1.58649	0.214021	1.2579	0	0.000977523	0	0	0	0	0	0	0	0	0	-0.0105996	-0.227348	0.061125	0	0	0.894459	0	0	0	0.0919688	-0.024304	0.671709
2011-03-30 00:00:00	-3.5955	0.196398	1.39396	0	0.00830339	0	0	0	0	0	0	0	0	0	0.947752	-0.227211	0.0611157	0	0	0.900162	0	0	0	0.0919936	-0.0239367	-0.246961
2011-03-31 00:00:00	-6.03153	0.0651146	1.4822	0	0.0432071	-0.00616199	0.00717961	0	0	0	0	0	0	0	2.49775	-0.227554	0.0611968	0	0	0.993322	0	0	0	0.0921445	-0.0256045	-1.04874
2011-04-01 00:00:00	-0.795496	-0.475316	1.67477	0	-0.00935076	-0.000161708	0.000262274	0	0	0	0	0	0	0	-0.758928	-0.227382	0.0611755	0	0	1.01669	0	0	0	0.0922772	-0.0269577	0.551578
2011-04-02 00:00:00	-2.58199	0.493891	1.65281	0	0.00531306	0	0.000841524	0	0	0	0	0	0	0	-0.280787	-0.22685	0.061081	0	0	0.950831	0	0	0	0.0921654	-0.0261582	0.14115
2011-04-03 00:00:00	0	-0.494107	1.3696	0	-0.0163041	0	8.84649E-05	0	0	0	0	0	0	0	-0.831206	-0.226581	0.061037	0	0	0.912088	0	0	0	0.0920682	-0.0250438	0.841644
2011-04-04 00:00:00	-1.61801	0.130492	1.48326	0	-0.000267954	0	4.08086E-05	0	0	0	0	0	0	0	-0.335318	-0.226098	0.0609564	0	0	0.845995	0	0	0	0.0920811	-0.0235246	0.409598
2011-04-05 00:00:00	-11.8	0.606537	1.89157	0	0.0379739	-0.018086	0.050643	0	0	0	0	0	0	0	5.73613	-0.226949	0.0611295	0	0	0.997352	0	0	0	0.0922914	-0.0251041	-2.59651
2011-04-06 00:00:00	-11.6	0.0363303	1.99626	0	0.000603204	-0.024494	0.0721201	0	0	0	0	0	0	0	5.58597	-0.228595	0.0614495	0	0	1.35817	0	0	0	0.0931025	-0.0307302	-2.67981
2011-04-07 00:00:00	0	-0.771408	1.6094	0	-0.0201706	-0.000275784	0.0020133	0	0	0	0	0	0	0	-1.12782	-0.228723	0.0614737	0	0	1.42002	0	0	0	0.0935133	-0.0338748	1.00414
2011-04-08 00:00:00	0	-0.00195714	1.49675	0	-0.024339	0	0	0	0	0	0	0	0	0	-1.66437	-0.228236	0.0613777	0	0	1.25082	0	0	0	0.0934797	-0.0310154	0.95251
2011-04-09 00:00:00	0	0	2.28123	0	-0.0282309	0	0	0	0	0	0	0	0	0	-1.79299	-0.227466	0.0612375	0	0	1.02363	0	0	0	0.093436	-0.0292511	1.38159
2011-04-10 00:00:00	0	0	1.92288	0	-0.00254236	0	0	0	0	0	0	0	0	0	-2.13127	-0.227218	0.0612025	0	0	0.927183	0	0	0	0.093494	-0.0261281	0.617602
2011-04-11 00:00:00	-0.804504	0	1.61288	0	0.000156575	0	0	0	0	0	0	0	0	0	-1.05491	-0.226578	0.0610895	0	0	0.820039	0	0	0	0.0934467	-0.0235669	0.478055
2011-04-12 00:00:00	-0.2	0	1.39162	0	-0.000599738	0	0	0	0	0	0	0	0	0	-1.10182	-0.226286	0.061038	0	0	0.77038	0	0	0	0.0932961	-0.0216614	0.765967
2011-04-13 00:00:00	0	0	1.47471	0	-0.000209123	0	0	0	0	0	0	0	0	0	-1.49031	-0.225725	0.0609393	0	0	0.695417	0	0	0	0.0932694	-0.0206437	0.587446
2011-04-14 00:00:00	-0.195496	0	1.64884	0	0	0	0	0	0	0	0	0	0	0	-1.07577	-0.225052	0.0608086	0	0	0.626297	0	0	0	0.0930806	-0.0197794	0.912931
2011-04-15 00:00:00	-0.413511	0	1.58998	0	0	0	0	0	0	0	0	0	0	0	-1.29576	-0.224664	0.0607472	0	0	0.587776	0	0	0	0.0932365	-0.0188858	0.378915
2011-04-16 00:00:00	0	0	1.552	0	0	0	0	0	0	0	0	0	0	0	-1.57187	-0.224075	0.0606672	0	0	0.54823	0	0	0	0.0928757	-0.0182134	0.439611
2011-04-17 00:00:00	0	0	1.69451	0	0	0	0	0	0	0	0	0	0	0	-1.60608	-0.223627	0.0605584	0	0	0.508109	0	0	0	0.092744	-0.0172042	0.50901
2011-04-18 00:00:00	0	0	2.07243	0	0	0	0	0	0	0	0	0	0	0	-2.05924	-0.223025	0.0604571	0	0	0.463805	0	0	0	0.092619	-0.0162826	0.390761
2011-04-19 00:00:00	-0.2	0	2.0455	0	0	0	0	0	0	0	0	0	0	0	-1.66627	-0.222362	0.0603784	0	0	0.427952	0	0	0	0.0924997	-0.0153205	0.522379
2011-04-20 00:00:00	0	0	2.20799	0	0	0	0	0	0	0	0	0	0	0	-1.92453	-0.221853	0.0603058	0	0	0.39017	0	0	0	0.0923614	-0.0146338	0.58981
2011-04-21 00:00:00	0	0	1.86759	0	0	0	0	0	0	0	0	0	0	0	-1.57195	-0.22135	0.0602073	0	0	0.363191	0	0	0	0.0922244	-0.0139497	0.575961
2011-04-22 00:00:00	-0.195496	0	1.84705	0	0	0	0	0	0	0	0	0	0	0	-1.46284	-0.22057	0.0601688	0	0	0.347788	0	0	0	0.092102	-0.0132129	0.454989
2011-04-23 00:00:00	-6.19099	1.63622	2.22095	0	-1.14362E-06	0	0	0	0	0	0	0	0	0	1.08182	-0.220754	0.0601912	0	0	0.41675	0	0	0	0.0919615	-0.0130763	-0.916937
2011-04-24 00:00:00	-0.00450358	-1.43547	2.17175	0	0	0	0	0	0	0	0	0	0	0	-0.786066	-0.220236	0.0601406	0	0	0.45432	0	0	0	0.091949	-0.0148653	0.317017
2011-04-25 00:00:00	0	-0.200748	1.69722	0	0	0	0	0	0	0	0	0	0	0	-1.54062	-0.21875	0.0600632	0	0	0.444947	0	0	0	0.0918236	-0.015031	0.318907
2011-04-26 00:00:00	0	0	1.80974	0	0	0	0	0	0	0	0	0	0	0	-2.02554	-0.218161	0.0597224	0	0	0.41228	0	0	0	0.0916837	-0.0147411	0.114984
2011-04-27 00:00:00	-0.00450358	0	2.236	0	0	0	0	0	0	0	0	0	0	0	-1.51401	-0.217192	0.0596331	0	0	0.377686	0	0	0	0.0916052	-0.0142997	1.01493
2011-04-28 00:00:00	0	0	2.22118	0	0	0	0	0	0	0	0	0	0	0	-2.21679	-0.216642	0.0596102	0	0	0.339085	0	0	0	0.0918145	-0.0135072	0.264757
2011-04-29 00:00:00	-0.204504	0	2.30926	0	0	0	0	0	0	0	0	0	0	0	-1.96772	-0.21623	0.0594937	0	0	0.313374	0	0	0	0.0913477	-0.0126941	0.372331
2011-04-30 00:00:00	0	0	1.74717	0	0	0	0	0	0	0	0	0	0	0	-1.77108	-0.215024	0.0593012	0	0	0.299758	0	0	0	0.0912028	-0.0122271	0.199099
2011-05-01 00:00:00	0	0	2.44608	0	0	0	0	0	0	0	0	0	0	0	-2.34826	-0.214802	0.0591889	0	0	0.275459	0	0	0	0.0910423	-0.0119946	0.29671
2011-05-02 00:00:00	0	0	1.98799	0	0	0	0	0	0	0	0	0	0	0	-1.81353	-0.214272	0.0590057	0	0	0.259421	0	0	0	0.0908944	-0.0115784	0.357935
2011-05-03 00:00:00	-0.00450358	0	1.94129	0	0	0	0	0	0	0	0	0	0	0	-1.71633	-0.213828	0.0589266	0	0	0.248418	0	0	0	0.0907373	-0.0113169	0.393386
2011-05-04 00:00:00	0	0	2.40519	0	0	0	0	0	0	0	0	0	0	0	-2.11046	-0.213282	0.0588308	0	0	0.229434	0	0	0	0.0905761	-0.0111326	0.449161
2011-05-05 00:00:00	-1.60901	0	2.12407	0	-1.39636E-12	0	0	0	0	0	0	0	0	0	-0.676945	-0.212983	0.0587674	0	0	0.23963	0	0	0	0.0903436	-0.0108701	0.00300564
2011-05-06 00:00:00	-8.42252	1.6773	2.66	0	8.75248E-06	0	0	0	0	0	0	0	0	0	2.64842	-0.213138	0.0587947	0	0	0.325946	0	0	0	0.0903567	-0.0116273	-1.18646
2011-05-07 00:00:00	-13.1234	0.0253592	2.69512	0	0.00525348	0	0.000174203	0	0	0	0	0	0	0	6.59232	-0.2145	0.0590844	0	0	0.574222	0	0	0	0.090953	-0.0159296	-3.31138
2011-05-08 00:00:00	-8.17298	-0.0141871	2.6335	0	0.0257115	0	0.00503626	0	0	0	0	0	0	0	3.2744	-0.21556	0.0593114	0	0	0.828057	0	0	0	0.0916356	-0.021366	-1.50644
2011-05-09 00:00:00	-4.93695	0.0260438	2.43788	0	0.0275937	0	0.00133775	0	0	0	0	0	0	0	1.18233	-0.215851	0.0593709	0	0	0.931179	0	0	0	0.0918847	-0.0241038	-0.419279
