Time	Precip	Canopy Stor. Change	Evapotrans	Snow Stor.Change	OL Stor.Change	OL Bou.Inflow	OL Bou.Outflow	OL->Ext.Sinks	OL->River/MOUSE	OL Drain Stor. Change	OL Drain->River/MOUSE	OL Drain->OL IN	OL Drain->OL OUT	Irrigation	SubSurf.Stor.Change	SubSurf.Bou.Inflow	SubSurf.Bou.Outflow	SubSurf->Ext.Sinks	Pumping	SZ Drain->River	SZ Drain->Ext.River	SZ Drain Inflow	SZ Drain Outflow	Baseflow to river	Baseflow from river	Error
2011-03-22 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011-03-23 00:00:00	0	-0.60774	1.36983	0	-0.567802	-0.00369875	0.0032947	0	0.159354	0	0	0	0	0	-0.63647	-0.0655427	0.0754488	0	0	0	0	0	0	0.342811	-0.00903559	0.0604487
2011-03-24 00:00:00	0	-0.633853	1.58185	0	-0.558284	-0.00241649	0.00171141	0	0.054171	0	0	0	0	0	-0.483261	-0.0655361	0.0754344	0	0	0	0	0	0	0.34122	-0.00811741	0.302924
2011-03-25 00:00:00	0	-0.467976	1.16488	0	-0.349738	-0.00182329	0.00131371	0	0.028285	0	0	0	0	0	-0.326919	-0.0655188	0.0754225	0	0	0	0	0	0	0.339655	-0.00771663	0.389865
2011-03-26 00:00:00	0	-0.441612	1.24877	0	-0.268397	-0.000995936	0.000590157	0	0.0166731	0	0	0	0	0	-0.412901	-0.0654812	0.0753463	0	0	0	0	0	0	0.337969	-0.00754065	0.482423
2011-03-27 00:00:00	0	-0.246465	1.21966	0	-0.280954	-7.25003E-05	3.34674E-05	0	0.0105365	0	0	0	0	0	-0.355005	-0.0654562	0.0752889	0	0	0	0	0	0	0.334226	-0.00737143	0.684418
2011-03-28 00:00:00	0	-0.155925	1.2939	0	-0.190462	-7.89295E-06	0	0	0.00150188	0	0	0	0	0	-0.377018	-0.0653928	0.0752035	0	0	0	0	0	0	0.331344	-0.00722469	0.905916
2011-03-29 00:00:00	-0.610909	0	1.23726	0	-0.00526071	-0.000120606	4.515E-05	0	0.00226865	0	0	0	0	0	-0.219198	-0.0653326	0.0751448	0	0	0	0	0	0	0.327418	-0.00718794	0.734125
2011-03-30 00:00:00	-3.78909	0.834742	1.417	0	0.375179	-0.00172283	0.00279321	0	0.0140465	0	0	0	0	0	0.721825	-0.0653334	0.0751266	0	0	0	0	0	0	0.32351	-0.00738066	-0.0993031
2011-03-31 00:00:00	-7.20545	0.187599	1.50736	0	1.38369	-0.0212863	0.0308638	0	0.286045	0	0	0	0	0	2.30526	-0.0654203	0.07521	0	0	0	0	0	0	0.320542	-0.00929408	-1.20488
2011-04-01 00:00:00	-0.794545	-0.497742	1.72623	0	-0.461108	-0.00426001	0.00542563	0	0.199785	0	0	0	0	0	-0.272094	-0.0654717	0.0752174	0	0	0	0	0	0	0.32417	-0.0091751	0.226431
2011-04-02 00:00:00	-2.57818	0.481256	1.68627	0	0.208603	-0.00529739	0.00594816	0	0.0690112	0	0	0	0	0	0.125561	-0.0654476	0.0751534	0	0	0	0	0	0	0.323739	-0.00785446	0.318758
2011-04-03 00:00:00	0	-0.671405	1.45807	0	-0.484292	-0.00113849	0.00130864	0	0.0705148	0	0	0	0	0	-0.220835	-0.0654055	0.0751015	0	0	0	0	0	0	0.321254	-0.00769925	0.475473
2011-04-04 00:00:00	-2.59455	0.579526	1.51036	0	0.235287	-0.00213944	0.00280498	0	0.0266816	0	0	0	0	0	0.145491	-0.0653863	0.0750416	0	0	0	0	0	0	0.318135	-0.00751813	0.223742
2011-04-05 00:00:00	-8.49273	0.673609	1.92268	0	1.10294	-0.0921979	0.264231	0	0.866058	0	0	0	0	0	2.17611	-0.0655111	0.0750582	0	0	0	0	0	0	0.312131	-0.0116815	-1.2693
2011-04-06 00:00:00	-13.3509	0.0967503	2.02863	0	0.602758	-0.280801	0.679054	0	3.2849	0	0	0	0	0	4.36474	-0.0658518	0.0751217	0	0	0	0	0	0	0.308433	-0.0246929	-2.28187
2011-04-07 00:00:00	0	-0.849944	1.71758	0	-1.21934	-0.026645	0.0383168	0	0.870876	0	0	0	0	0	-0.826822	-0.0659554	0.0751841	0	0	0	0	0	0	0.323105	-0.0137458	0.02261
2011-04-08 00:00:00	0	-0.498604	1.69333	0	-0.564466	-0.00144825	0.0013966	0	0.0491484	0	0	0	0	0	-0.615833	-0.0658845	0.0752063	0	0	0	0	0	0	0.327277	-0.00796946	0.392152
2011-04-09 00:00:00	0	-0.335774	2.57236	0	-1.21374	-4.61053E-05	0	0	0.00880292	0	0	0	0	0	-1.08177	-0.0658408	0.0750863	0	0	0	0	0	0	0.325991	-0.00741314	0.277661
2011-04-10 00:00:00	0	0	2.13783	0	-0.297513	0	0	0	0	0	0	0	0	0	-0.919394	-0.0658163	0.0750269	0	0	0	0	0	0	0.319653	-0.00712027	1.24267
2011-04-11 00:00:00	-0.805454	0	1.71295	0	0.0763305	0	0	0	0.000607152	0	0	0	0	0	-0.435779	-0.065751	0.0749313	0	0	0	0	0	0	0.315351	-0.0071081	0.866074
2011-04-12 00:00:00	-0.00545455	0	1.50392	0	-0.18023	0	0	0	0	0	0	0	0	0	-0.633622	-0.0657005	0.0748613	0	0	0	0	0	0	0.307926	-0.00703255	0.994669
2011-04-13 00:00:00	-0.194545	0	1.62347	0	-0.191107	0	0	0	9.32266E-06	0	0	0	0	0	-0.626906	-0.065612	0.0747444	0	0	0	0	0	0	0.302983	-0.00701352	0.916026
2011-04-14 00:00:00	0	0	1.73199	0	-0.258115	0	0	0	0	0	0	0	0	0	-0.82679	-0.0655005	0.0746068	0	0	0	0	0	0	0.299316	-0.00699249	0.948518
2011-04-15 00:00:00	-0.610909	0	1.68915	0	-5.10214E-05	0	0	0	0	0	0	0	0	0	-0.397795	-0.0654384	0.074529	0	0	0	0	0	0	0.294622	-0.0069692	0.977135
2011-04-16 00:00:00	0	0	1.62927	0	-0.0730902	0	0	0	0	0	0	0	0	0	-0.621738	-0.065321	0.0743974	0	0	0	0	0	0	0.287613	-0.00693025	1.2242
2011-04-17 00:00:00	0	0	1.76821	0	-0.0666419	0	0	0	0	0	0	0	0	0	-0.76619	-0.0652212	0.0742046	0	0	0	0	0	0	0.280314	-0.00684297	1.21784
2011-04-18 00:00:00	0	0	2.16197	0	-0.0804745	0	0	0	0	0	0	0	0	0	-0.888609	-0.065122	0.0740869	0	0	0	0	0	0	0.274967	-0.00680474	1.47001
2011-04-19 00:00:00	-0.00545454	0	2.10253	0	-0.0464072	0	0	0	0	0	0	0	0	0	-0.77572	-0.0650227	0.0739569	0	0	0	0	0	0	0.262528	-0.00673047	1.53968
2011-04-20 00:00:00	0	0	2.31955	0	-0.0480706	0	0	0	0	0	0	0	0	0	-1.06625	-0.0649138	0.073815	0	0	0	0	0	0	0.254476	-0.00668092	1.46192
2011-04-21 00:00:00	0	0	1.96466	0	-0.020885	0	0	0	0	0	0	0	0	0	-0.775518	-0.0648237	0.0736892	0	0	0	0	0	0	0.246146	-0.00662682	1.41664
2011-04-22 00:00:00	0	0	1.88151	0	-0.0142903	0	0	0	0	0	0	0	0	0	-0.723114	-0.0647318	0.0735115	0	0	0	0	0	0	0.2388	-0.00657438	1.38511
