Time	Precip	Canopy Stor. Change	Evapotrans	Snow Stor.Change	OL Stor.Change	OL Bou.Inflow	OL Bou.Outflow	OL->Ext.Sinks	OL->River/MOUSE	OL Drain Stor. Change	OL Drain->River/MOUSE	OL Drain->OL IN	OL Drain->OL OUT	Irrigation	SubSurf.Stor.Change	SubSurf.Bou.Inflow	SubSurf.Bou.Outflow	SubSurf->Ext.Sinks	Pumping	SZ Drain->River	SZ Drain->Ext.River	SZ Drain Inflow	SZ Drain Outflow	Baseflow to river	Baseflow from river	Error
2011-03-22 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011-03-23 00:00:00	0	-0.697762	1.35158	0	-0.490804	-0.00344458	0.0131698	0	0.16141	0	0	0	0	0	-0.729408	-0.0115112	0.0170945	0	0	0.0714495	0.0388695	0	0	0.136249	-0.0151343	-0.158247
2011-03-24 00:00:00	0	-0.462434	1.55775	0	-0.364408	-0.00448174	0.0127384	0	0.103708	0	0	0	0	0	-0.77791	-0.0115055	0.0170744	0	0	0.0614945	0.034834	0	0	0.135807	-0.0155266	0.287144
2011-03-25 00:00:00	0	-0.298603	1.14356	0	-0.155799	-0.00197867	0.00513256	0	0.0378959	0	0	0	0	0	-0.576649	-0.0114938	0.0170484	0	0	0.0506546	0.0298275	0	0	0.135745	-0.0142439	0.361094
2011-03-26 00:00:00	0	-0.222072	1.21907	0	-0.344624	-0.00240027	0.00646474	0	0.060217	0	0	0	0	0	-0.484939	-0.011486	0.0170262	0	0	0.0441528	0.0268341	0	0	0.135259	-0.0138945	0.429603
2011-03-27 00:00:00	0	-0.0980359	1.1953	0	-0.174153	-0.000628538	0.000979591	0	0.0160196	0	0	0	0	0	-0.600803	-0.01147	0.0169841	0	0	0.0359464	0.0230275	0	0	0.135	-0.0131653	0.524997
2011-03-28 00:00:00	0	-0.0617392	1.27245	0	-0.283526	-0.00124001	0.00289579	0	0.0161677	0	0	0	0	0	-0.507461	-0.0114655	0.0169689	0	0	0.0325694	0.0215515	0	0	0.134082	-0.012693	0.618563
2011-03-29 00:00:00	-1.00903	0.0519764	1.23786	0	0.0628708	-0.00104503	0.0055521	0	0.0155106	0	0	0	0	0	-0.0871406	-0.0114554	0.0169426	0	0	0.0287124	0.0199018	0	0	0.133403	-0.0120807	0.451982
2011-03-30 00:00:00	-3.54929	0.418858	1.39862	0	0.324589	-0.0041297	0.020002	0	0.096187	0	0	0	0	0	0.932677	-0.0114545	0.0169365	0	0	0.0293329	0.0199851	0	0	0.132766	-0.0119797	-0.186895
2011-03-31 00:00:00	-6.69068	0.230952	1.4864	0	0.968159	-0.0119072	0.0487378	0	0.346194	0	0	0	0	0	2.41299	-0.0114652	0.0169584	0	0	0.034369	0.0221393	0	0	0.131945	-0.015001	-1.03021
2011-04-01 00:00:00	-0.663832	-0.424006	1.69158	0	-0.369142	-0.00487384	0.0189356	0	0.225668	0	0	0	0	0	-0.41093	-0.0114618	0.0169512	0	0	0.0357111	0.0227521	0	0	0.131766	-0.0165661	0.242553
2011-04-02 00:00:00	-2.17773	0.25051	1.66867	0	0.142043	-0.00476542	0.0197851	0	0.12323	0	0	0	0	0	0.0501518	-0.0114528	0.0169313	0	0	0.0328707	0.0215838	0	0	0.131932	-0.0140406	0.249718
2011-04-03 00:00:00	0	-0.428701	1.41561	0	-0.425478	-0.00208892	0.00935061	0	0.0956276	0	0	0	0	0	-0.545113	-0.0114361	0.0168976	0	0	0.0295058	0.0201789	0	0	0.131506	-0.0138709	0.291993
2011-04-04 00:00:00	-2.16393	0.351458	1.49139	0	0.188136	-0.00287685	0.00962845	0	0.0429736	0	0	0	0	0	0.214083	-0.0114314	0.0168849	0	0	0.0273499	0.0193626	0	0	0.130889	-0.0126691	0.301243
2011-04-05 00:00:00	-10.1841	0.630862	1.896	0	1.0327	-0.025163	0.112803	0	0.956202	0	0	0	0	0	3.89689	-0.0114425	0.0169363	0	0	0.0362353	0.0223979	0	0	0.129069	-0.0187611	-1.50933
2011-04-06 00:00:00	-12.2467	0.101739	2.0009	0	0.51683	-0.0553845	0.208388	0	2.44387	0	0	0	0	0	4.97922	-0.0114663	0.0170415	0	0	0.0559645	0.0300583	0	0	0.126347	-0.0337259	-1.8669
2011-04-07 00:00:00	0	-0.682502	1.67296	0	-0.952938	-0.0135011	0.0412422	0	0.809917	0	0	0	0	0	-0.984412	-0.0114684	0.0170584	0	0	0.059831	0.0316445	0	0	0.131401	-0.0254036	0.0938277
2011-04-08 00:00:00	0	-0.265043	1.63707	0	-0.291382	-0.00546424	0.0135458	0	0.118375	0	0	0	0	0	-0.971524	-0.0114618	0.0170341	0	0	0.051032	0.0281873	0	0	0.13535	-0.0162413	0.439474
2011-04-09 00:00:00	0	-0.246009	2.48869	0	-0.859355	-0.00153009	0.00287416	0	0.0448552	0	0	0	0	0	-1.19989	-0.0114461	0.0170043	0	0	0.0404224	0.0236074	0	0	0.135777	-0.0145026	0.420501
2011-04-10 00:00:00	0	0	2.07135	0	-0.708335	-7.8645E-06	4.37571E-05	0	0.00563985	0	0	0	0	0	-0.877177	-0.0114317	0.0169682	0	0	0.0318742	0.0201449	0	0	0.135678	-0.0123905	0.672354
