Time	Precip	Canopy Stor. Change	Evapotrans	Snow Stor.Change	OL Stor.Change	OL Bou.Inflow	OL Bou.Outflow	OL->Ext.Sinks	OL->River/MOUSE	OL Drain Stor. Change	OL Drain->River/MOUSE	OL Drain->OL IN	OL Drain->OL OUT	Irrigation	SubSurf.Stor.Change	SubSurf.Bou.Inflow	SubSurf.Bou.Outflow	SubSurf->Ext.Sinks	Pumping	SZ Drain->River	SZ Drain->Ext.River	SZ Drain Inflow	SZ Drain Outflow	Baseflow to river	Baseflow from river	Error
2011-03-22 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011-03-23 00:00:00	0	-0.967764	1.35798	0	-0.010266	0	0.000102341	0	0	0	0	0	0	0	-0.786401	-0.230192	0.0616524	0	0	1.70638	0	0	0	0.0926124	-0.0325761	1.19153
2011-03-24 00:00:00	0	-0.718397	1.56382	0	-0.0165311	0	0	0	0	0	0	0	0	0	-1.22108	-0.229741	0.0615613	0	0	1.52388	0	0	0	0.0921728	-0.0358679	1.01982
2011-03-25 00:00:00	0	-0.51309	1.14747	0	-0.0118734	0	0	0	0	0	0	0	0	0	-1.04127	-0.229146	0.0614437	0	0	1.32677	0	0	0	0.0922466	-0.0330008	0.799544
2011-03-26 00:00:00	0	-0.43947	1.22363	0	-0.0126357	0	0	0	0	0	0	0	0	0	-0.971492	-0.228744	0.0613685	0	0	1.20646	0	0	0	0.0921735	-0.0303958	0.900898
2011-03-27 00:00:00	0	0	1.18049	0	-0.00856426	0	0	0	0	0	0	0	0	0	-1.59681	-0.227992	0.0612318	0	0	1.03957	0	0	0	0.0921246	-0.0287187	0.511341
2011-03-28 00:00:00	0	0	1.25852	0	-0.00548874	0	0	0	0	0	0	0	0	0	-1.12487	-0.227754	0.0611896	0	0	0.968507	0	0	0	0.0921267	-0.026504	0.99573
2011-03-29 00:00:00	-1.58649	0.203142	1.26217	0	0.00104883	0	0	0	0	0	0	0	0	0	-0.204572	-0.227287	0.0611094	0	0	0.891083	0	0	0	0.0920719	-0.0244494	0.46783
2011-03-30 00:00:00	-3.5955	0.187546	1.40357	0	0.0125535	0	0	0	0	0	0	0	0	0	1.06072	-0.227179	0.0610985	0	0	0.898495	0	0	0	0.0920977	-0.0236114	-0.130209
2011-03-31 00:00:00	-6.03153	0.0788001	1.49118	0	0.0434247	-0.00619104	0.00861078	0	0	0	0	0	0	0	2.44366	-0.227511	0.061174	0	0	0.995299	0	0	0	0.0922645	-0.0254206	-1.07623
2011-04-01 00:00:00	-0.795496	-0.452519	1.68475	0	-0.00846342	-0.000124972	0.000601919	0	0	0	0	0	0	0	-0.800473	-0.227321	0.0611512	0	0	1.01361	0	0	0	0.0923814	-0.0267892	0.541306
2011-04-02 00:00:00	-2.58199	0.484433	1.6716	0	0.0052984	0	0.00170825	0	0	0	0	0	0	0	-0.122186	-0.226946	0.0610817	0	0	0.95747	0	0	0	0.0922782	-0.025868	0.316883
2011-04-03 00:00:00	0	-0.497199	1.37668	0	-0.0140888	0	0.000102478	0	0	0	0	0	0	0	-1.28028	-0.226325	0.0609684	0	0	0.887375	0	0	0	0.0922402	-0.0256988	0.373777
2011-04-04 00:00:00	-1.61801	0.123412	1.49491	0	-4.7207E-05	0	0.000203531	0	0	0	0	0	0	0	-0.0750606	-0.226073	0.060928	0	0	0.8445	0	0	0	0.0921543	-0.0230703	0.673844
2011-04-05 00:00:00	-11.8	0.612548	1.90663	0	0.0250378	-0.0183017	0.0564686	0	0	0	0	0	0	0	5.6251	-0.2269	0.0610991	0	0	1.00109	0	0	0	0.0924667	-0.0248855	-2.68965
2011-04-06 00:00:00	-11.6	0.0499178	2.01217	0	0.00527386	-0.024467	0.0700498	0	0	0	0	0	0	0	5.63098	-0.228486	0.0614076	0	0	1.35202	0	0	0	0.0932416	-0.0305343	-2.60843
2011-04-07 00:00:00	0	-0.759284	1.61686	0	-0.0187346	-0.00027603	0.00187203	0	0	0	0	0	0	0	-1.10459	-0.228609	0.0614257	0	0	1.41254	0	0	0	0.0936307	-0.0337086	1.04113
2011-04-08 00:00:00	0	-0.0134584	1.50631	0	-0.0219905	0	4.57816E-05	0	0	0	0	0	0	0	-1.72554	-0.228124	0.0613354	0	0	1.24675	0	0	0	0.0935802	-0.0308943	0.888013
2011-04-09 00:00:00	0	-0.0173395	2.29644	0	-0.0282145	0	0	0	0	0	0	0	0	0	-2.27012	-0.22746	0.0612129	0	0	1.04168	0	0	0	0.0935549	-0.0292872	0.920461
2011-04-10 00:00:00	0	0	1.93601	0	-0.00497637	0	0	0	0	0	0	0	0	0	-1.17439	-0.226828	0.0611078	0	0	0.881063	0	0	0	0.0933951	-0.026693	1.53869
2011-04-11 00:00:00	-0.804504	0	1.62335	0	-0.000965158	0	0	0	0	0	0	0	0	0	-1.22096	-0.22647	0.0610535	0	0	0.810941	0	0	0	0.0938496	-0.023521	0.312765
2011-04-12 00:00:00	-0.2	0	1.40166	0	-0.000136132	0	0	0	0	0	0	0	0	0	-1.31966	-0.226202	0.0610079	0	0	0.767664	0	0	0	0.0933687	-0.0216166	0.556092
2011-04-13 00:00:00	0	0	1.48705	0	-0.00105203	0	0	0	0	0	0	0	0	0	-1.41193	-0.22564	0.0609041	0	0	0.691468	0	0	0	0.0933634	-0.020554	0.673616
2011-04-14 00:00:00	-0.195496	0	1.6633	0	-7.63913E-05	0	0	0	0	0	0	0	0	0	-1.25581	-0.224991	0.0607872	0	0	0.621133	0	0	0	0.0932591	-0.019723	0.742378
2011-04-15 00:00:00	-0.413511	0	1.6031	0	-1.35433E-05	0	0	0	0	0	0	0	0	0	-1.30033	-0.224532	0.0607178	0	0	0.582514	0	0	0	0.0932773	-0.0188297	0.382391
2011-04-16 00:00:00	0	0	1.56698	0	0	0	0	0	0	0	0	0	0	0	-1.54689	-0.223869	0.0606176	0	0	0.543199	0	0	0	0.0929626	-0.0180688	0.474932
2011-04-17 00:00:00	0	0	1.71219	0	0	0	0	0	0	0	0	0	0	0	-1.60781	-0.223557	0.0604903	0	0	0.502823	0	0	0	0.0928287	-0.0171389	0.519823
