Time	Precip	Canopy Stor. Change	Evapotrans	Snow Stor.Change	OL Stor.Change	OL Bou.Inflow	OL Bou.Outflow	OL->Ext.Sinks	OL->River/MOUSE	OL Drain Stor. Change	OL Drain->River/MOUSE	OL Drain->OL IN	OL Drain->OL OUT	Irrigation	SubSurf.Stor.Change	SubSurf.Bou.Inflow	SubSurf.Bou.Outflow	SubSurf->Ext.Sinks	Pumping	SZ Drain->River	SZ Drain->Ext.River	SZ Drain Inflow	SZ Drain Outflow	Baseflow to river	Baseflow from river	Error
2011-03-22 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011-03-23 00:00:00	0	-0.60774	1.38958	0	-0.566558	-0.00370733	0.0033352	0	0.15665	0	0	0	0	0	-0.644212	-0.0655426	0.0754486	0	0	0	0	0	0	0.342811	-0.00903866	0.0710262
2011-03-24 00:00:00	0	-0.633852	1.60418	0	-0.532486	-0.00254513	0.00186858	0	0.0544491	0	0	0	0	0	-0.498395	-0.0655353	0.0754369	0	0	0	0	0	0	0.341257	-0.00815179	0.336226
2011-03-25 00:00:00	0	-0.467976	1.18069	0	-0.533831	-0.000556356	0.000369474	0	0.0286855	0	0	0	0	0	-0.377711	-0.0655013	0.0753893	0	0	0	0	0	0	0.34046	-0.00775245	0.172261
2011-03-26 00:00:00	0	-0.441612	1.2654	0	-0.147868	-0.00231889	0.00157986	0	0.0242923	0	0	0	0	0	-0.21881	-0.0654975	0.0753706	0	0	0	0	0	0	0.336672	-0.00757617	0.819635
2011-03-27 00:00:00	0	-0.246465	1.23626	0	-0.347208	-3.18791E-05	0	0	0.00671896	0	0	0	0	0	-0.321028	-0.0654519	0.0752855	0	0	0	0	0	0	0.334473	-0.00735381	0.665203
2011-03-28 00:00:00	0	-0.155925	1.30809	0	-0.302098	-9.28649E-06	0	0	0.00178953	0	0	0	0	0	-0.477074	-0.0653841	0.0751827	0	0	0	0	0	0	0.332019	-0.00724316	0.709345
2011-03-29 00:00:00	-0.610909	0	1.25178	0	0.135479	-7.35158E-05	2.23052E-05	0	0.00128183	0	0	0	0	0	-0.222883	-0.065343	0.0751525	0	0	0	0	0	0	0.327168	-0.00716832	0.884506
2011-03-30 00:00:00	-3.78909	0.81077	1.43305	0	0.38983	-0.001757	0.00275874	0	0.0131721	0	0	0	0	0	0.77677	-0.0653417	0.0751315	0	0	0	0	0	0	0.323345	-0.00737366	-0.0387368
2011-03-31 00:00:00	-7.20545	0.161727	1.52639	0	1.50273	-0.0183946	0.0304976	0	0.230312	0	0	0	0	0	2.1967	-0.0654299	0.0752214	0	0	0	0	0	0	0.320133	-0.00925041	-1.25482
2011-04-01 00:00:00	-0.794546	-0.450132	1.74765	0	-0.459423	-0.00420229	0.0131924	0	0.18593	0	0	0	0	0	-0.254014	-0.0654718	0.0752223	0	0	0	0	0	0	0.323443	-0.00935177	0.308292
2011-04-02 00:00:00	-2.57818	0.433995	1.71281	0	0.224348	-0.00495044	0.00869305	0	0.0716553	0	0	0	0	0	0.129668	-0.0654543	0.0751694	0	0	0	0	0	0	0.322685	-0.00795325	0.32248
2011-04-03 00:00:00	0	-0.624115	1.47354	0	-0.522123	-0.000841585	0.00313086	0	0.0761136	0	0	0	0	0	-0.317492	-0.0653915	0.0750748	0	0	0	0	0	0	0.321416	-0.00817822	0.411137
2011-04-04 00:00:00	-2.59455	0.539533	1.53268	0	0.280683	-0.00194729	0.00266975	0	0.0233654	0	0	0	0	0	0.187843	-0.065355	0.0750489	0	0	0	0	0	0	0.316665	-0.00749445	0.289148
2011-04-05 00:00:00	-8.49273	0.667173	1.94946	0	1.00353	-0.0914713	0.325811	0	0.867115	0	0	0	0	0	2.19134	-0.065479	0.0750653	0	0	0	0	0	0	0.310337	-0.0128695	-1.27271
2011-04-06 00:00:00	-13.3509	0.0934418	2.05808	0	0.620451	-0.280863	0.686607	0	3.18621	0	0	0	0	0	4.32382	-0.0658297	0.0751065	0	0	0	0	0	0	0.307444	-0.0248757	-2.37132
2011-04-07 00:00:00	0	-0.797917	1.73768	0	-1.248	-0.0260216	0.0373304	0	0.84709	0	0	0	0	0	-0.786312	-0.065934	0.0751468	0	0	0	0	0	0	0.322536	-0.0138387	0.0817646
2011-04-08 00:00:00	0	-0.498606	1.71339	0	-0.554935	-0.00133927	0.00137489	0	0.045691	0	0	0	0	0	-0.59438	-0.0658671	0.075162	0	0	0	0	0	0	0.326458	-0.00798106	0.438963
2011-04-09 00:00:00	0	-0.335867	2.60667	0	-1.2751	-4.6134E-05	0	0	0.00889811	0	0	0	0	0	-0.855604	-0.0658244	0.0750442	0	0	0	0	0	0	0.324875	-0.00742091	0.475619
2011-04-10 00:00:00	0	0	2.15342	0	-0.292002	0	0	0	0	0	0	0	0	0	-0.990621	-0.0658002	0.0749835	0	0	0	0	0	0	0.318843	-0.00712509	1.1917
2011-04-11 00:00:00	-0.805454	0	1.72718	0	0.0932729	0	0	0	0.000780714	0	0	0	0	0	-0.499383	-0.0657326	0.0748837	0	0	0	0	0	0	0.314492	-0.00712222	0.832914
2011-04-12 00:00:00	-0.00545454	0	1.51081	0	-0.249054	0	0	0	0	0	0	0	0	0	-0.639679	-0.0656897	0.0748165	0	0	0	0	0	0	0.305308	-0.00703129	0.924024
2011-04-13 00:00:00	-0.194545	0	1.6425	0	-0.0340054	0	0	0	0	0	0	0	0	0	-0.667203	-0.0655555	0.0746854	0	0	0	0	0	0	0.302708	-0.00701702	1.05157
2011-04-14 00:00:00	0	0	1.76039	0	-0.313776	0	0	0	0	0	0	0	0	0	-0.821558	-0.065459	0.0745684	0	0	0	0	0	0	0.298522	-0.00699333	0.925698
2011-04-15 00:00:00	-0.610909	0	1.71534	0	0.0036664	0	0	0	0	0	0	0	0	0	-0.336615	-0.0654024	0.0744927	0	0	0	0	0	0	0.291864	-0.0069658	1.06547
2011-04-16 00:00:00	0	0	1.65562	0	-0.0669291	0	0	0	0	0	0	0	0	0	-0.693911	-0.0653109	0.0743605	0	0	0	0	0	0	0.287472	-0.00692836	1.18438
2011-04-17 00:00:00	0	0	1.79591	0	-0.0606941	0	0	0	0	0	0	0	0	0	-0.699621	-0.0652152	0.0741722	0	0	0	0	0	0	0.279067	-0.00683252	1.31679
2011-04-18 00:00:00	0	0	2.18699	0	-0.0767787	0	0	0	0	0	0	0	0	0	-1.003	-0.0651205	0.0740512	0	0	0	0	0	0	0.270362	-0.00676903	1.37974
2011-04-19 00:00:00	-0.00545454	0	2.11198	0	-0.0453132	0	0	0	0	0	0	0	0	0	-0.677459	-0.0650343	0.0739205	0	0	0	0	0	0	0.262371	-0.00672606	1.64829
