Time	ET
2011-03-22 00:00:00	1.68152
2011-03-23 00:00:00	1.6599
2011-03-24 00:00:00	1.87583
2011-03-25 00:00:00	1.42342
2011-03-26 00:00:00	1.54768
2011-03-27 00:00:00	1.5187
2011-03-28 00:00:00	1.63159
2011-03-29 00:00:00	1.56296
2011-03-30 00:00:00	1.74
2011-03-31 00:00:00	1.84086
2011-04-01 00:00:00	2.07121
2011-04-02 00:00:00	2.04282
2011-04-03 00:00:00	1.81371
2011-04-04 00:00:00	1.82203
2011-04-05 00:00:00	2.31107
2011-04-06 00:00:00	2.42955
2011-04-07 00:00:00	2.11089
2011-04-08 00:00:00	2.07902
2011-04-09 00:00:00	3.06027
2011-04-10 00:00:00	2.64055
2011-04-11 00:00:00	2.1419
2011-04-12 00:00:00	1.97846
2011-04-13 00:00:00	2.13487
2011-04-14 00:00:00	2.35373
2011-04-15 00:00:00	2.23415
2011-04-16 00:00:00	2.29941
2011-04-17 00:00:00	2.45191
2011-04-18 00:00:00	2.98464
2011-04-19 00:00:00	2.92742
2011-04-20 00:00:00	3.22622
2011-04-21 00:00:00	2.78058
2011-04-22 00:00:00	2.70356
2011-04-23 00:00:00	2.65707
2011-04-24 00:00:00	2.76129
2011-04-25 00:00:00	2.44492
2011-04-26 00:00:00	2.62921
2011-04-27 00:00:00	3.24839
2011-04-28 00:00:00	3.27494
2011-04-29 00:00:00	3.37343
2011-04-30 00:00:00	2.71174
2011-05-01 00:00:00	3.98965
2011-05-02 00:00:00	3.2882
2011-05-03 00:00:00	3.25853
2011-05-04 00:00:00	4.12382
2011-05-05 00:00:00	2.78219
2011-05-06 00:00:00	3.19758
2011-05-07 00:00:00	3.21321
2011-05-08 00:00:00	3.13691
2011-05-09 00:00:00	2.91612
2011-05-10 00:00:00	3.06193
2011-05-11 00:00:00	3.0126
2011-05-12 00:00:00	2.94478
2011-05-13 00:00:00	2.71329
2011-05-14 00:00:00	2.89184
2011-05-15 00:00:00	2.87724
2011-05-16 00:00:00	3.14479
2011-05-17 00:00:00	3.18818
2011-05-18 00:00:00	3.11268
2011-05-19 00:00:00	2.93658
2011-05-20 00:00:00	2.90375
2011-05-21 00:00:00	3.0433
2011-05-22 00:00:00	2.99784
2011-05-23 00:00:00	3.05767
2011-05-24 00:00:00	2.94364
2011-05-25 00:00:00	2.93417
2011-05-26 00:00:00	3.17558
2011-05-27 00:00:00	3.19296
2011-05-28 00:00:00	3.18606
2011-05-29 00:00:00	3.06811
2011-05-30 00:00:00	3.27341
2011-05-31 00:00:00	4.25199
2011-06-01 00:00:00	3.52502
2011-06-02 00:00:00	4.02711
2011-06-03 00:00:00	3.99857
2011-06-04 00:00:00	3.30555
2011-06-05 00:00:00	3.23822
2011-06-06 00:00:00	3.22323
2011-06-07 00:00:00	3.30072
2011-06-08 00:00:00	3.20847
2011-06-09 00:00:00	3.25461
2011-06-10 00:00:00	3.28589
2011-06-11 00:00:00	2.96637
2011-06-12 00:00:00	3.25355
2011-06-13 00:00:00	3.58666
2011-06-14 00:00:00	3.5597
2011-06-15 00:00:00	3.76009
2011-06-16 00:00:00	3.35987
2011-06-17 00:00:00	3.58436
2011-06-18 00:00:00	3.46495
2011-06-19 00:00:00	3.70369
2011-06-20 00:00:00	3.5459
2011-06-21 00:00:00	3.69675
2011-06-22 00:00:00	3.61433
2011-06-23 00:00:00	3.46719
2011-06-24 00:00:00	3.53553
2011-06-25 00:00:00	3.66579
2011-06-26 00:00:00	4.27385
2011-06-27 00:00:00	3.88681
2011-06-28 00:00:00	4.06595
2011-06-29 00:00:00	4.13116
2011-06-30 00:00:00	3.41509
2011-07-01 00:00:00	4.05444
2011-07-02 00:00:00	5.91902
2011-07-03 00:00:00	4.47483
2011-07-04 00:00:00	5.77008
2011-07-05 00:00:00	3.86968
2011-07-06 00:00:00	3.55099
2011-07-07 00:00:00	3.5039
2011-07-08 00:00:00	3.80973
2011-07-09 00:00:00	3.54957
2011-07-10 00:00:00	3.52734
2011-07-11 00:00:00	3.46412
2011-07-12 00:00:00	3.37418
2011-07-13 00:00:00	4.08223
2011-07-14 00:00:00	3.63517
2011-07-15 00:00:00	3.67261
2011-07-16 00:00:00	3.78746
2011-07-17 00:00:00	3.74441
2011-07-18 00:00:00	3.50942
2011-07-19 00:00:00	3.40552
2011-07-20 00:00:00	3.28648
2011-07-21 00:00:00	3.23341
2011-07-22 00:00:00	3.13511
2011-07-23 00:00:00	4.04222
2011-07-24 00:00:00	4.17484
2011-07-25 00:00:00	4.30029
2011-07-26 00:00:00	3.44197
2011-07-27 00:00:00	3.73506
2011-07-28 00:00:00	3.30678
2011-07-29 00:00:00	3.32527
2011-07-30 00:00:00	4.32393
2011-07-31 00:00:00	3.39627
2011-08-01 00:00:00	3.87809
2011-08-02 00:00:00	3.49248
2011-08-03 00:00:00	3.81878
2011-08-04 00:00:00	3.4714
2011-08-05 00:00:00	3.36569
2011-08-06 00:00:00	3.00224
2011-08-07 00:00:00	3.20782
2011-08-08 00:00:00	3.14868
2011-08-09 00:00:00	3.02735
2011-08-10 00:00:00	3.15849
2011-08-11 00:00:00	3.1728
2011-08-12 00:00:00	3.28811
2011-08-13 00:00:00	3.39615
2011-08-14 00:00:00	3.16189
2011-08-15 00:00:00	3.1145
2011-08-16 00:00:00	2.89887
2011-08-17 00:00:00	2.80122
2011-08-18 00:00:00	2.81066
2011-08-19 00:00:00	2.92082
2011-08-20 00:00:00	2.96909
2011-08-21 00:00:00	2.87145
2011-08-22 00:00:00	2.7407
2011-08-23 00:00:00	3.20586
2011-08-24 00:00:00	2.93096
2011-08-25 00:00:00	2.93335
2011-08-26 00:00:00	2.52264
2011-08-27 00:00:00	2.52177
2011-08-28 00:00:00	2.50698
2011-08-29 00:00:00	2.49331
2011-08-30 00:00:00	2.58096
2011-08-31 00:00:00	2.47277
2011-09-01 00:00:00	2.56043
2011-09-02 00:00:00	2.67132
2011-09-03 00:00:00	2.5161
2011-09-04 00:00:00	2.33401
2011-09-05 00:00:00	2.44405
2011-09-06 00:00:00	2.44865
2011-09-07 00:00:00	2.3334
2011-09-08 00:00:00	2.27743
2011-09-09 00:00:00	2.31611
2011-09-10 00:00:00	2.56685
2011-09-11 00:00:00	2.25957
2011-09-12 00:00:00	2.3217
2011-09-13 00:00:00	2.08376
2011-09-14 00:00:00	1.96711
2011-09-15 00:00:00	2.55195
2011-09-16 00:00:00	2.03414
2011-09-17 00:00:00	1.9062
2011-09-18 00:00:00	1.98986
2011-09-19 00:00:00	1.82492
2011-09-20 00:00:00	1.93055
2011-09-21 00:00:00	1.8714
2011-09-22 00:00:00	1.84669
2011-09-23 00:00:00	1.94183
2011-09-24 00:00:00	1.82465
2011-09-25 00:00:00	1.79917
2011-09-26 00:00:00	1.69301
2011-09-27 00:00:00	1.81723
2011-09-28 00:00:00	2.30906
2011-09-29 00:00:00	2.02363
2011-09-30 00:00:00	2.12191
2011-10-01 00:00:00	1.8751
2011-10-02 00:00:00	1.69398
2011-10-03 00:00:00	1.59334
2011-10-04 00:00:00	1.45475
2011-10-05 00:00:00	1.52667
2011-10-06 00:00:00	1.27026
2011-10-07 00:00:00	1.31053
2011-10-08 00:00:00	1.3534
2011-10-09 00:00:00	1.51953
2011-10-10 00:00:00	1.1598
2011-10-11 00:00:00	1.30713
2011-10-12 00:00:00	1.18547
2011-10-13 00:00:00	1.22719
2011-10-14 00:00:00	1.36373
2011-10-15 00:00:00	1.30408
2011-10-16 00:00:00	1.17758
2011-10-17 00:00:00	1.01579
2011-10-18 00:00:00	0.981176
2011-10-19 00:00:00	0.852962
2011-10-20 00:00:00	0.862469
2011-10-21 00:00:00	1.09735
2011-10-22 00:00:00	1.01527
2011-10-23 00:00:00	1.07654
2011-10-24 00:00:00	1.07683
2011-10-25 00:00:00	1.00137
2011-10-26 00:00:00	0.841548
2011-10-27 00:00:00	0.873573
2011-10-28 00:00:00	0.829526
2011-10-29 00:00:00	0.947598
2011-10-30 00:00:00	0.950999
2011-10-31 00:00:00	0.955021
2011-11-01 00:00:00	0.756485
2011-11-02 00:00:00	0.791693
2011-11-03 00:00:00	0.867873
2011-11-04 00:00:00	0.730903
2011-11-05 00:00:00	0.525217
2011-11-06 00:00:00	0.548588
2011-11-07 00:00:00	0.646197
2011-11-08 00:00:00	0.616758
2011-11-09 00:00:00	0.649036
2011-11-10 00:00:00	0.700203
2011-11-11 00:00:00	0.523167
2011-11-12 00:00:00	0.579925
2011-11-13 00:00:00	0.570728
2011-11-14 00:00:00	0.524638
2011-11-15 00:00:00	0.555114
2011-11-16 00:00:00	0.490636
2011-11-17 00:00:00	0.551767
2011-11-18 00:00:00	0.392628
2011-11-19 00:00:00	0.526656
2011-11-20 00:00:00	0.545773
2011-11-21 00:00:00	0.53062
2011-11-22 00:00:00	0.457532
2011-11-23 00:00:00	0.508744
2011-11-24 00:00:00	0.5168
2011-11-25 00:00:00	0.409029
2011-11-26 00:00:00	0.483944
2011-11-27 00:00:00	0.430565
2011-11-28 00:00:00	0.425552
2011-11-29 00:00:00	0.414755
2011-11-30 00:00:00	0.402093
2011-12-01 00:00:00	0.32318
2011-12-02 00:00:00	0.32475
2011-12-03 00:00:00	0.354531
2011-12-04 00:00:00	0.287406
2011-12-05 00:00:00	0.270449
2011-12-06 00:00:00	0.290672
2011-12-07 00:00:00	0.291592
2011-12-08 00:00:00	0.327686
2011-12-09 00:00:00	0.28174
2011-12-10 00:00:00	0.277022
2011-12-11 00:00:00	0.322179
2011-12-12 00:00:00	0.306203
2011-12-13 00:00:00	0.299295
2011-12-14 00:00:00	0.29676
2011-12-15 00:00:00	0.244574
2011-12-16 00:00:00	0.229346
2011-12-17 00:00:00	0.223818
2011-12-18 00:00:00	0.242198
2011-12-19 00:00:00	0.285546
2011-12-20 00:00:00	0.277081
2011-12-21 00:00:00	0.326167
2011-12-22 00:00:00	0.308743
2011-12-23 00:00:00	0.298724
2011-12-24 00:00:00	0.314805
2011-12-25 00:00:00	0.393564
2011-12-26 00:00:00	0.402585
2011-12-27 00:00:00	0.342816
2011-12-28 00:00:00	0.333261
2011-12-29 00:00:00	0.291272
2011-12-30 00:00:00	0.285302
2011-12-31 00:00:00	0.384282
2012-01-01 00:00:00	0.341511
2012-01-02 00:00:00	0.282874
2012-01-03 00:00:00	0.308228
2012-01-04 00:00:00	0.331702
2012-01-05 00:00:00	0.316478
2012-01-06 00:00:00	0.319976
2012-01-07 00:00:00	0.331853
2012-01-08 00:00:00	0.392184
2012-01-09 00:00:00	0.384262
2012-01-10 00:00:00	0.395393
2012-01-11 00:00:00	0.414526
2012-01-12 00:00:00	0.380827
2012-01-13 00:00:00	0.283015
2012-01-14 00:00:00	0.297988
2012-01-15 00:00:00	0.253349
2012-01-16 00:00:00	0.252228
2012-01-17 00:00:00	0.379248
2012-01-18 00:00:00	0.450607
2012-01-19 00:00:00	0.392533
2012-01-20 00:00:00	0.403718
2012-01-21 00:00:00	0.459647
2012-01-22 00:00:00	0.452927
2012-01-23 00:00:00	0.406292
2012-01-24 00:00:00	0.426387
2012-01-25 00:00:00	0.541169
2012-01-26 00:00:00	0.425668
2012-01-27 00:00:00	0.410069
2012-01-28 00:00:00	0.350969
2012-01-29 00:00:00	0.428982
2012-01-30 00:00:00	0.449901
2012-01-31 00:00:00	0.383399
2012-02-01 00:00:00	0.419723
2012-02-02 00:00:00	0.346883
2012-02-03 00:00:00	0.44928
2012-02-04 00:00:00	0.490865
2012-02-05 00:00:00	0.507488
2012-02-06 00:00:00	0.525763
2012-02-07 00:00:00	0.449557
2012-02-08 00:00:00	0.515358
2012-02-09 00:00:00	0.570835
2012-02-10 00:00:00	0.483386
2012-02-11 00:00:00	0.622688
2012-02-12 00:00:00	0.689179
2012-02-13 00:00:00	0.699605
2012-02-14 00:00:00	0.715066
2012-02-15 00:00:00	0.798495
2012-02-16 00:00:00	0.831792
2012-02-17 00:00:00	0.860088
2012-02-18 00:00:00	0.738194
2012-02-19 00:00:00	0.684721
2012-02-20 00:00:00	0.851006
2012-02-21 00:00:00	0.940151
2012-02-22 00:00:00	1.05654
2012-02-23 00:00:00	1.09546
2012-02-24 00:00:00	1.01722
2012-02-25 00:00:00	0.946666
2012-02-26 00:00:00	0.784293
2012-02-27 00:00:00	1.1458
2012-02-28 00:00:00	1.19776
2012-02-29 00:00:00	1.04313
2012-03-01 00:00:00	1.18718
2012-03-02 00:00:00	1.10719
2012-03-03 00:00:00	1.08146
2012-03-04 00:00:00	0.919918
2012-03-05 00:00:00	0.892782
2012-03-06 00:00:00	0.979518
2012-03-07 00:00:00	1.10048
2012-03-08 00:00:00	1.20465
2012-03-09 00:00:00	1.41116
2012-03-10 00:00:00	1.10575
2012-03-11 00:00:00	1.28845
2012-03-12 00:00:00	1.26988
