scenario,season,subcatchment,mean,p05,p95
Baseline,DJF,Shiplaw_Burn,0.09719,0.01167,0.32127
Baseline,DJF,Middle_Burn,0.06046,0.00917,0.19708
Baseline,DJF,Middle_Longcote,0.09523,0.03081,0.22165
Baseline,DJF,Kidston_Mill,1.52995,0.20788,4.83931
Baseline,JJA,Shiplaw_Burn,0.01645,0.0043,0.04532
Baseline,JJA,Middle_Burn,0.01093,0.00344,0.03501
Baseline,JJA,Middle_Longcote,0.03256,0.00854,0.08061
Baseline,JJA,Kidston_Mill,0.28495,0.07342,1.00425
Baseline,MAM,Shiplaw_Burn,0.02817,0.00689,0.10426
Baseline,MAM,Middle_Burn,0.01781,0.00491,0.06002
Baseline,MAM,Middle_Longcote,0.04951,0.01666,0.0984
Baseline,MAM,Kidston_Mill,0.49296,0.10058,1.80928
Baseline,SON,Shiplaw_Burn,0.03374,0.00366,0.13964
Baseline,SON,Middle_Burn,0.02248,0.00324,0.08572
Baseline,SON,Middle_Longcote,0.05009,0.01718,0.10993
Baseline,SON,Kidston_Mill,0.5315,0.07138,1.9333
RCP4.5,DJF,Shiplaw_Burn,0.1021,0.00998,0.3589
RCP4.5,DJF,Middle_Burn,0.06323,0.00817,0.20705
RCP4.5,DJF,Middle_Longcote,0.10519,0.03048,0.25774
RCP4.5,DJF,Kidston_Mill,1.63655,0.17901,5.3848
RCP4.5,JJA,Shiplaw_Burn,0.01258,0.00406,0.025
RCP4.5,JJA,Middle_Burn,0.00838,0.00326,0.0234
RCP4.5,JJA,Middle_Longcote,0.0267,0.00741,0.0666
RCP4.5,JJA,Kidston_Mill,0.21495,0.06837,0.53606
RCP4.5,MAM,Shiplaw_Burn,0.02972,0.00672,0.11457
RCP4.5,MAM,Middle_Burn,0.0184,0.00484,0.06707
RCP4.5,MAM,Middle_Longcote,0.05156,0.01576,0.10845
RCP4.5,MAM,Kidston_Mill,0.52445,0.09898,1.96214
RCP4.5,SON,Shiplaw_Burn,0.02555,0.00311,0.11235
RCP4.5,SON,Middle_Burn,0.01668,0.00285,0.06756
RCP4.5,SON,Middle_Longcote,0.04436,0.01376,0.10049
RCP4.5,SON,Kidston_Mill,0.39819,0.06246,1.50679
RCP8.5,DJF,Shiplaw_Burn,0.10445,0.00797,0.38616
RCP8.5,DJF,Middle_Burn,0.06438,0.00704,0.21087
RCP8.5,DJF,Middle_Longcote,0.11031,0.03027,0.2849
RCP8.5,DJF,Kidston_Mill,1.68442,0.15856,5.67258
RCP8.5,JJA,Shiplaw_Burn,0.01102,0.00391,0.0182
RCP8.5,JJA,Middle_Burn,0.00741,0.00316,0.0172
RCP8.5,JJA,Middle_Longcote,0.02361,0.00686,0.06074
RCP8.5,JJA,Kidston_Mill,0.18722,0.06534,0.40894
RCP8.5,MAM,Shiplaw_Burn,0.03043,0.00658,0.11676
RCP8.5,MAM,Middle_Burn,0.01877,0.0048,0.06743
RCP8.5,MAM,Middle_Longcote,0.05241,0.01502,0.1144
RCP8.5,MAM,Kidston_Mill,0.53399,0.09696,2.08251
RCP8.5,SON,Shiplaw_Burn,0.01927,0.00291,0.0765
RCP8.5,SON,Middle_Burn,0.01269,0.00267,0.05122
RCP8.5,SON,Middle_Longcote,0.03987,0.01142,0.09325
RCP8.5,SON,Kidston_Mill,0.301,0.05816,1.11369
A2,DJF,Shiplaw_Burn,0.08841,0.00975,0.30239
A2,DJF,Middle_Burn,0.04792,0.00616,0.16145
A2,DJF,Middle_Longcote,0.09531,0.03076,0.22203
A2,DJF,Kidston_Mill,1.47523,0.19056,4.60461
A2,JJA,Shiplaw_Burn,0.01483,0.00405,0.03927
A2,JJA,Middle_Burn,0.00777,0.00301,0.02185
A2,JJA,Middle_Longcote,0.03256,0.0085,0.0801
A2,JJA,Kidston_Mill,0.27093,0.07126,0.94111
A2,MAM,Shiplaw_Burn,0.0259,0.00644,0.09417
A2,MAM,Middle_Burn,0.01386,0.00423,0.04329
A2,MAM,Middle_Longcote,0.04947,0.01667,0.09859
A2,MAM,Kidston_Mill,0.47457,0.09731,1.72392
A2,SON,Shiplaw_Burn,0.02867,0.00344,0.11462
A2,SON,Middle_Burn,0.01436,0.00273,0.05687
A2,SON,Middle_Longcote,0.05001,0.01713,0.11003
A2,SON,Kidston_Mill,0.49953,0.06928,1.91076
C,DJF,Shiplaw_Burn,0.09486,0.01093,0.31621
C,DJF,Middle_Burn,0.06047,0.0093,0.19206
C,DJF,Middle_Longcote,0.09519,0.03087,0.2222
C,DJF,Kidston_Mill,1.50483,0.20195,4.70422
C,JJA,Shiplaw_Burn,0.01562,0.00404,0.04157
C,JJA,Middle_Burn,0.01093,0.00343,0.0348
C,JJA,Middle_Longcote,0.03232,0.00847,0.07947
C,JJA,Kidston_Mill,0.2763,0.07188,0.92446
C,MAM,Shiplaw_Burn,0.02727,0.00654,0.09964
C,MAM,Middle_Burn,0.01782,0.00491,0.06106
C,MAM,Middle_Longcote,0.04927,0.01641,0.09819
C,MAM,Kidston_Mill,0.48052,0.09813,1.73528
C,SON,Shiplaw_Burn,0.03195,0.00344,0.12727
C,SON,Middle_Burn,0.0225,0.00323,0.0864
C,SON,Middle_Longcote,0.05018,0.01713,0.10956
C,SON,Kidston_Mill,0.52077,0.07027,1.97911
RCP4.5+A2,DJF,Shiplaw_Burn,0.09099,0.00711,0.32556
RCP4.5+A2,DJF,Middle_Burn,0.04786,0.00373,0.17448
RCP4.5+A2,DJF,Middle_Longcote,0.10514,0.03031,0.25525
RCP4.5+A2,DJF,Kidston_Mill,1.56849,0.16382,5.12007
RCP4.5+A2,JJA,Shiplaw_Burn,0.01119,0.00378,0.02482
RCP4.5+A2,JJA,Middle_Burn,0.00604,0.00281,0.01358
RCP4.5+A2,JJA,Middle_Longcote,0.02669,0.00737,0.06635
RCP4.5+A2,JJA,Kidston_Mill,0.20406,0.06604,0.52753
RCP4.5+A2,MAM,Shiplaw_Burn,0.02685,0.00629,0.09773
RCP4.5+A2,MAM,Middle_Burn,0.01403,0.00416,0.04514
RCP4.5+A2,MAM,Middle_Longcote,0.05153,0.01563,0.10814
RCP4.5+A2,MAM,Kidston_Mill,0.50276,0.09547,1.85768
RCP4.5+A2,SON,Shiplaw_Burn,0.0211,0.00287,0.08261
RCP4.5+A2,SON,Middle_Burn,0.01014,0.00241,0.04653
RCP4.5+A2,SON,Middle_Longcote,0.0443,0.01368,0.10084
RCP4.5+A2,SON,Kidston_Mill,0.37111,0.06078,1.35812
RCP8.5+A2,DJF,Shiplaw_Burn,0.09162,0.00592,0.34138
RCP8.5+A2,DJF,Middle_Burn,0.04727,0.00263,0.17666
RCP8.5+A2,DJF,Middle_Longcote,0.1102,0.03051,0.28346
RCP8.5+A2,DJF,Kidston_Mill,1.60631,0.147,5.36901
RCP8.5+A2,JJA,Shiplaw_Burn,0.00978,0.00362,0.01853
RCP8.5+A2,JJA,Middle_Burn,0.00542,0.00267,0.0114
RCP8.5+A2,JJA,Middle_Longcote,0.02361,0.0068,0.06077
RCP8.5+A2,JJA,Kidston_Mill,0.17808,0.06292,0.39354
RCP8.5+A2,MAM,Shiplaw_Burn,0.02731,0.0061,0.09791
RCP8.5+A2,MAM,Middle_Burn,0.01416,0.00412,0.04623
RCP8.5+A2,MAM,Middle_Longcote,0.05235,0.01491,0.11413
RCP8.5+A2,MAM,Kidston_Mill,0.51064,0.09365,1.91967
RCP8.5+A2,SON,Shiplaw_Burn,0.01606,0.00271,0.0614
RCP8.5+A2,SON,Middle_Burn,0.00742,0.00222,0.03048
RCP8.5+A2,SON,Middle_Longcote,0.03987,0.01139,0.0934
RCP8.5+A2,SON,Kidston_Mill,0.28033,0.05651,1.04759
RCP4.5+C,DJF,Shiplaw_Burn,0.09874,0.00843,0.35036
RCP4.5+C,DJF,Middle_Burn,0.06324,0.00823,0.20576
RCP4.5+C,DJF,Middle_Longcote,0.10516,0.03038,0.25473
RCP4.5+C,DJF,Kidston_Mill,1.60622,0.17306,5.24784
RCP4.5+C,JJA,Shiplaw_Burn,0.01173,0.00379,0.02462
RCP4.5+C,JJA,Middle_Burn,0.00838,0.00326,0.02218
RCP4.5+C,JJA,Middle_Longcote,0.02646,0.00731,0.06596
RCP4.5+C,JJA,Kidston_Mill,0.20801,0.0668,0.53525
RCP4.5+C,MAM,Shiplaw_Burn,0.02837,0.00641,0.10409
RCP4.5+C,MAM,Middle_Burn,0.0184,0.00484,0.06672
RCP4.5+C,MAM,Middle_Longcote,0.05125,0.01541,0.108
RCP4.5+C,MAM,Kidston_Mill,0.51016,0.09677,1.89603
RCP4.5+C,SON,Shiplaw_Burn,0.02363,0.00289,0.09488
RCP4.5+C,SON,Middle_Burn,0.01667,0.00285,0.06651
RCP4.5+C,SON,Middle_Longcote,0.04444,0.01375,0.10073
RCP4.5+C,SON,Kidston_Mill,0.38748,0.06149,1.49887
RCP8.5+C,DJF,Shiplaw_Burn,0.10041,0.00653,0.36888
RCP8.5+C,DJF,Middle_Burn,0.06439,0.007,0.21132
RCP8.5+C,DJF,Middle_Longcote,0.11033,0.03042,0.28466
RCP8.5+C,DJF,Kidston_Mill,1.64992,0.1532,5.52075
RCP8.5+C,JJA,Shiplaw_Burn,0.01029,0.00362,0.0196
RCP8.5+C,JJA,Middle_Burn,0.00741,0.00316,0.01748
RCP8.5+C,JJA,Middle_Longcote,0.02335,0.00676,0.06036
RCP8.5+C,JJA,Kidston_Mill,0.18161,0.06376,0.40389
RCP8.5+C,MAM,Shiplaw_Burn,0.02896,0.00634,0.10782
RCP8.5+C,MAM,Middle_Burn,0.01876,0.00479,0.06729
RCP8.5+C,MAM,Middle_Longcote,0.05209,0.01468,0.11438
RCP8.5+C,MAM,Kidston_Mill,0.51862,0.09505,2.00013
RCP8.5+C,SON,Shiplaw_Burn,0.01779,0.00273,0.07038
RCP8.5+C,SON,Middle_Burn,0.0127,0.00267,0.05044
