scenario,season,subcatchment,mean,p05,p95
Baseline,DJF,Shiplaw_Burn,0.09719,0.01167,0.32127
Baseline,DJF,Middle_Burn,0.06046,0.00917,0.19708
Baseline,DJF,Middle_Longcote,0.09523,0.03081,0.22165
Baseline,DJF,Kidston_Mill,1.52995,0.20788,4.83931
Baseline,JJA,Shiplaw_Burn,0.01645,0.0043,0.04532
Baseline,JJA,Middle_Burn,0.01093,0.00344,0.03501
Baseline,JJA,Middle_Longcote,0.03256,0.00854,0.08061
Baseline,JJA,Kidston_Mill,0.28495,0.07342,1.00425
Baseline,MAM,Shiplaw_Burn,0.02817,0.00689,0.10426
Baseline,MAM,Middle_Burn,0.01781,0.00491,0.06002
Baseline,MAM,Middle_Longcote,0.04951,0.01666,0.0984
Baseline,MAM,Kidston_Mill,0.49296,0.10058,1.80928
Baseline,SON,Shiplaw_Burn,0.03374,0.00366,0.13964
Baseline,SON,Middle_Burn,0.02248,0.00324,0.08572
Baseline,SON,Middle_Longcote,0.05009,0.01718,0.10993
Baseline,SON,Kidston_Mill,0.5315,0.07138,1.9333
A1,DJF,Shiplaw_Burn,0.0958,0.01123,0.32034
A1,DJF,Middle_Burn,0.06046,0.00882,0.19408
A1,DJF,Middle_Longcote,0.09525,0.03109,0.22122
A1,DJF,Kidston_Mill,1.51037,0.20405,4.71351
A1,JJA,Shiplaw_Burn,0.01608,0.0041,0.04381
A1,JJA,Middle_Burn,0.01093,0.00344,0.03549
A1,JJA,Middle_Longcote,0.03256,0.00853,0.07974
A1,JJA,Kidston_Mill,0.27921,0.07219,0.98676
A1,MAM,Shiplaw_Burn,0.02795,0.00673,0.10152
A1,MAM,Middle_Burn,0.01781,0.00491,0.06065
A1,MAM,Middle_Longcote,0.04944,0.0167,0.09773
A1,MAM,Kidston_Mill,0.48531,0.09861,1.76084
A1,SON,Shiplaw_Burn,0.03226,0.00351,0.13123
A1,SON,Middle_Burn,0.0225,0.00324,0.08605
A1,SON,Middle_Longcote,0.05006,0.01707,0.10945
A1,SON,Kidston_Mill,0.52303,0.07032,1.98773
A2,DJF,Shiplaw_Burn,0.08841,0.00975,0.30239
A2,DJF,Middle_Burn,0.04792,0.00616,0.16145
A2,DJF,Middle_Longcote,0.09531,0.03076,0.22203
A2,DJF,Kidston_Mill,1.47523,0.19056,4.60461
A2,JJA,Shiplaw_Burn,0.01483,0.00405,0.03927
A2,JJA,Middle_Burn,0.00777,0.00301,0.02185
A2,JJA,Middle_Longcote,0.03256,0.0085,0.0801
A2,JJA,Kidston_Mill,0.27093,0.07126,0.94111
A2,MAM,Shiplaw_Burn,0.0259,0.00644,0.09417
A2,MAM,Middle_Burn,0.01386,0.00423,0.04329
A2,MAM,Middle_Longcote,0.04947,0.01667,0.09859
A2,MAM,Kidston_Mill,0.47457,0.09731,1.72392
A2,SON,Shiplaw_Burn,0.02867,0.00344,0.11462
A2,SON,Middle_Burn,0.01436,0.00273,0.05687
A2,SON,Middle_Longcote,0.05001,0.01713,0.11003
A2,SON,Kidston_Mill,0.49953,0.06928,1.91076
C,DJF,Shiplaw_Burn,0.09486,0.01093,0.31621
C,DJF,Middle_Burn,0.06047,0.0093,0.19206
C,DJF,Middle_Longcote,0.09519,0.03087,0.2222
C,DJF,Kidston_Mill,1.50483,0.20195,4.70422
C,JJA,Shiplaw_Burn,0.01562,0.00404,0.04157
C,JJA,Middle_Burn,0.01093,0.00343,0.0348
C,JJA,Middle_Longcote,0.03232,0.00847,0.07947
C,JJA,Kidston_Mill,0.2763,0.07188,0.92446
C,MAM,Shiplaw_Burn,0.02727,0.00654,0.09964
C,MAM,Middle_Burn,0.01782,0.00491,0.06106
C,MAM,Middle_Longcote,0.04927,0.01641,0.09819
C,MAM,Kidston_Mill,0.48052,0.09813,1.73528
C,SON,Shiplaw_Burn,0.03195,0.00344,0.12727
C,SON,Middle_Burn,0.0225,0.00323,0.0864
C,SON,Middle_Longcote,0.05018,0.01713,0.10956
C,SON,Kidston_Mill,0.52077,0.07027,1.97911
M,DJF,Shiplaw_Burn,0.09632,0.01118,0.31721
M,DJF,Middle_Burn,0.06047,0.00919,0.19208
M,DJF,Middle_Longcote,0.09534,0.03069,0.22021
M,DJF,Kidston_Mill,1.5214,0.20682,4.77605
M,JJA,Shiplaw_Burn,0.01632,0.00423,0.04229
M,JJA,Middle_Burn,0.01093,0.00343,0.03617
M,JJA,Middle_Longcote,0.03231,0.00838,0.07984
M,JJA,Kidston_Mill,0.28115,0.07307,0.96369
M,MAM,Shiplaw_Burn,0.02783,0.00675,0.1041
M,MAM,Middle_Burn,0.01782,0.00491,0.06086
M,MAM,Middle_Longcote,0.04927,0.01641,0.09827
M,MAM,Kidston_Mill,0.48747,0.09956,1.79073
M,SON,Shiplaw_Burn,0.03397,0.00369,0.13952
M,SON,Middle_Burn,0.02249,0.00324,0.08639
M,SON,Middle_Longcote,0.05018,0.01699,0.11066
M,SON,Kidston_Mill,0.52863,0.07125,1.99912
